step,reward,seed
0,4.2,3
100000,5.2,3
200000,198.5,3
300000,364.5,3
400000,540.8,3
500000,671.7,3
600000,733.8,3
700000,772.3,3
800000,874.0,3
900000,912.5,3
1000000,878.2,3
1100000,897.5,3
1200000,885.7,3
1300000,926.9,3
1400000,900.0,3
1500000,921.1,3
1600000,916.2,3
1700000,921.8,3
1800000,934.9,3
1900000,929.9,3
2000000,927.6,3
2100000,911.4,3
2200000,871.6,3
2300000,902.7,3
2400000,886.8,3
2500000,886.2,3
2600000,907.5,3
2700000,840.8,3
2800000,741.2,3
2900000,769.1,3
3000000,866.7,3
3100000,907.5,3
3200000,914.0,3
3300000,871.1,3
3400000,837.1,3
3500000,884.7,3
3600000,836.8,3
3700000,878.6,3
3800000,914.2,3
3900000,902.2,3
4000000,872.9,3
4100000,851.0,3
4200000,928.8,3
4300000,924.0,3
4400000,919.3,3
4500000,915.8,3
4600000,920.5,3
4700000,882.0,3
4800000,887.4,3
4900000,916.5,3
5000000,845.8,3
5100000,920.6,3
5200000,918.8,3
5300000,868.4,3
5400000,891.1,3
5500000,901.5,3
5600000,913.0,3
5700000,910.0,3
5800000,833.8,3
5900000,903.4,3
6000000,901.8,3
6100000,846.3,3
6200000,919.4,3
6300000,874.8,3
6400000,880.1,3
6500000,833.8,3
6600000,882.0,3
6700000,884.5,3
6800000,923.7,3
6900000,931.7,3
7000000,903.2,3
7100000,887.0,3
7200000,885.0,3
7300000,841.5,3
7400000,908.7,3
7500000,911.1,3
7600000,906.5,3
7700000,892.1,3
7800000,897.6,3
7900000,895.1,3
8000000,899.6,3
8100000,908.1,3
8200000,917.8,3
8300000,905.9,3
8400000,869.6,3
8500000,929.8,3
8600000,929.3,3
8700000,951.5,3
8800000,876.8,3
8900000,920.1,3
9000000,881.1,3
9100000,866.1,3
9200000,922.9,3
9300000,803.6,3
9400000,848.8,3
9500000,806.8,3
9600000,934.4,3
9700000,819.9,3
9800000,904.8,3
9900000,864.5,3
10000000,833.2,3
10100000,907.9,3
10200000,920.6,3
10300000,898.0,3
10400000,878.2,3
10500000,881.4,3
10600000,929.5,3
10700000,837.3,3
10800000,913.3,3
10900000,868.0,3
11000000,906.8,3
11100000,847.8,3
11200000,875.6,3
11300000,862.3,3
11400000,861.4,3
11500000,913.0,3
11600000,774.5,3
11700000,806.8,3
11800000,917.2,3
11900000,925.2,3
12000000,893.1,3
12100000,863.9,3
12200000,908.2,3
12300000,886.4,3
12400000,849.7,3
12500000,877.2,3
12600000,823.0,3
12700000,865.5,3
12800000,829.3,3
12900000,912.8,3
13000000,873.9,3
13100000,897.7,3
13200000,869.5,3
13300000,895.8,3
13400000,900.9,3
13500000,902.5,3
13600000,835.7,3
13700000,854.8,3
13800000,823.6,3
13900000,914.2,3
14000000,851.5,3
0,5.6,1
100000,4.7,1
200000,6.6,1
300000,294.1,1
400000,421.8,1
500000,547.8,1
600000,497.2,1
700000,690.1,1
800000,852.3,1
900000,818.1,1
1000000,908.5,1
1100000,916.3,1
1200000,921.8,1
1300000,899.3,1
1400000,926.4,1
1500000,917.0,1
1600000,929.4,1
1700000,888.6,1
1800000,929.8,1
1900000,906.3,1
2000000,923.4,1
2100000,946.3,1
2200000,930.6,1
2300000,928.5,1
2400000,937.3,1
2500000,922.9,1
2600000,932.0,1
2700000,943.6,1
2800000,899.3,1
2900000,912.8,1
3000000,936.1,1
3100000,917.4,1
3200000,917.5,1
3300000,930.6,1
3400000,938.4,1
3500000,900.5,1
3600000,933.7,1
3700000,901.8,1
3800000,898.1,1
3900000,915.0,1
4000000,896.0,1
4100000,917.3,1
4200000,931.9,1
4300000,870.0,1
4400000,940.2,1
4500000,887.0,1
4600000,842.9,1
4700000,865.5,1
4800000,924.3,1
4900000,866.7,1
5000000,872.8,1
5100000,912.5,1
5200000,934.3,1
5300000,922.6,1
5400000,950.4,1
5500000,901.1,1
5600000,923.2,1
5700000,812.9,1
5800000,918.3,1
5900000,935.6,1
6000000,921.3,1
6100000,929.2,1
6200000,890.4,1
6300000,919.2,1
6400000,893.3,1
6500000,889.1,1
6600000,895.6,1
6700000,901.4,1
6800000,844.6,1
6900000,811.0,1
7000000,881.5,1
7100000,852.8,1
7200000,866.3,1
7300000,891.1,1
7400000,836.3,1
7500000,840.1,1
7600000,878.7,1
7700000,818.7,1
7800000,913.2,1
7900000,911.0,1
8000000,930.5,1
8100000,928.5,1
8200000,918.6,1
8300000,926.2,1
8400000,900.8,1
8500000,921.7,1
8600000,906.6,1
8700000,901.5,1
8800000,876.6,1
8900000,916.9,1
9000000,942.3,1
9100000,866.5,1
9200000,934.0,1
9300000,906.8,1
9400000,895.7,1
9500000,810.5,1
9600000,867.9,1
9700000,822.8,1
9800000,823.5,1
9900000,887.2,1
10000000,738.1,1
10100000,882.4,1
10200000,923.4,1
10300000,907.8,1
10400000,895.8,1
10500000,906.2,1
10600000,865.0,1
10700000,932.1,1
10800000,892.6,1
10900000,869.3,1
11000000,928.1,1
11100000,916.5,1
11200000,912.4,1
11300000,810.6,1
11400000,843.7,1
11500000,894.4,1
11600000,926.0,1
11700000,899.3,1
11800000,897.9,1
11900000,874.9,1
12000000,930.3,1
12100000,915.3,1
12200000,922.7,1
12300000,875.0,1
12400000,895.2,1
12500000,923.6,1
12600000,898.4,1
12700000,905.9,1
12800000,917.3,1
12900000,874.9,1
13000000,930.9,1
13100000,922.6,1
13200000,925.3,1
13300000,886.0,1
13400000,749.5,1
13500000,924.4,1
13600000,823.1,1
13700000,859.6,1
13800000,897.5,1
13900000,884.6,1
14000000,928.6,1
0,6.1,2
100000,6.0,2
200000,190.1,2
300000,424.2,2
400000,484.4,2
500000,594.6,2
600000,650.7,2
700000,768.0,2
800000,900.4,2
900000,908.8,2
1000000,919.3,2
1100000,912.1,2
1200000,928.4,2
1300000,911.6,2
1400000,878.2,2
1500000,910.3,2
1600000,947.7,2
1700000,935.2,2
1800000,907.6,2
1900000,934.2,2
2000000,928.4,2
2100000,922.5,2
2200000,906.9,2
2300000,922.6,2
2400000,935.1,2
2500000,914.2,2
2600000,903.2,2
2700000,793.7,2
2800000,903.7,2
2900000,849.3,2
3000000,842.9,2
3100000,888.8,2
3200000,868.8,2
3300000,872.8,2
3400000,739.4,2
3500000,890.2,2
3600000,884.3,2
3700000,843.7,2
3800000,912.0,2
3900000,602.1,2
4000000,865.0,2
4100000,896.4,2
4200000,878.6,2
4300000,899.8,2
4400000,879.7,2
4500000,943.4,2
4600000,911.6,2
4700000,888.2,2
4800000,837.9,2
4900000,909.5,2
5000000,895.3,2
5100000,910.3,2
5200000,910.4,2
5300000,900.2,2
5400000,917.4,2
5500000,907.8,2
5600000,880.4,2
5700000,837.7,2
5800000,925.6,2
5900000,928.6,2
6000000,883.3,2
6100000,883.6,2
6200000,847.9,2
6300000,877.8,2
6400000,915.0,2
6500000,889.8,2
6600000,898.3,2
6700000,889.6,2
6800000,939.2,2
6900000,879.0,2
7000000,872.0,2
7100000,883.3,2
7200000,883.1,2
7300000,815.6,2
7400000,848.3,2
7500000,847.4,2
7600000,903.6,2
7700000,903.0,2
7800000,915.8,2
7900000,878.0,2
8000000,863.3,2
8100000,888.5,2
8200000,923.0,2
8300000,856.5,2
8400000,880.7,2
8500000,925.2,2
8600000,907.5,2
8700000,914.2,2
8800000,913.9,2
8900000,795.1,2
9000000,912.2,2
9100000,898.3,2
9200000,858.2,2
9300000,827.9,2
9400000,891.0,2
9500000,845.9,2
9600000,909.5,2
9700000,922.4,2
9800000,898.8,2
9900000,903.7,2
10000000,896.3,2
10100000,914.1,2
10200000,890.9,2
10300000,796.5,2
10400000,907.9,2
10500000,883.7,2
10600000,894.3,2
10700000,892.4,2
10800000,877.1,2
10900000,915.6,2
11000000,916.0,2
11100000,917.7,2
11200000,834.1,2
11300000,901.1,2
11400000,837.6,2
11500000,909.7,2
11600000,937.3,2
11700000,836.5,2
11800000,875.8,2
11900000,783.5,2
12000000,892.0,2
12100000,937.7,2
12200000,937.0,2
12300000,909.3,2
12400000,889.6,2
12500000,877.5,2
12600000,901.1,2
12700000,886.1,2
12800000,886.9,2
12900000,873.1,2
13000000,843.7,2
13100000,907.4,2
13200000,864.4,2
13300000,737.9,2
13400000,911.7,2
13500000,839.9,2
13600000,912.5,2
13700000,866.4,2
13800000,914.1,2
13900000,911.0,2
14000000,919.8,2
0,4.6,2
100000,7.8,2
200000,115.5,2
300000,176.6,2
400000,409.9,2
500000,596.8,2
600000,645.5,2
700000,652.1,2
800000,828.0,2
900000,804.1,2
1000000,798.4,2
1100000,893.9,2
1200000,848.2,2
1300000,748.8,2
1400000,917.5,2
1500000,891.6,2
1600000,929.9,2
1700000,910.8,2
1800000,882.8,2
1900000,937.6,2
2000000,919.3,2
2100000,932.0,2
2200000,920.5,2
2300000,912.3,2
2400000,901.9,2
2500000,875.9,2
2600000,827.7,2
2700000,908.5,2
2800000,745.8,2
2900000,930.8,2
3000000,897.7,2
3100000,927.4,2
3200000,884.7,2
3300000,882.9,2
3400000,920.7,2
3500000,921.6,2
3600000,872.1,2
3700000,834.0,2
3800000,932.8,2
3900000,900.9,2
4000000,868.6,2
0,4.8,1
100000,4.9,1
200000,149.1,1
300000,394.2,1
400000,574.3,1
500000,577.1,1
600000,736.5,1
700000,699.3,1
800000,788.8,1
900000,878.5,1
1000000,821.6,1
1100000,885.3,1
1200000,877.5,1
1300000,897.8,1
1400000,875.5,1
1500000,859.8,1
1600000,934.8,1
1700000,896.3,1
1800000,755.6,1
1900000,893.2,1
2000000,849.3,1
2100000,888.7,1
2200000,898.2,1
2300000,907.4,1
2400000,901.7,1
2500000,862.6,1
2600000,716.5,1
2700000,823.7,1
2800000,842.5,1
2900000,871.1,1
3000000,716.3,1
3100000,892.6,1
3200000,827.7,1
3300000,799.2,1
3400000,886.7,1
3500000,892.3,1
3600000,860.0,1
3700000,831.8,1
3800000,880.6,1
3900000,882.6,1
4000000,937.0,1
