step,reward,seed
0,1.3,2
100000,1.7,2
200000,211.2,2
300000,309.0,2
400000,485.5,2
500000,463.9,2
600000,529.6,2
700000,633.2,2
800000,795.6,2
900000,816.3,2
1000000,745.3,2
1100000,869.0,2
1200000,851.0,2
1300000,925.8,2
1400000,922.1,2
1500000,892.7,2
1600000,913.5,2
1700000,932.3,2
1800000,894.4,2
1900000,883.9,2
2000000,914.3,2
2100000,934.9,2
2200000,927.0,2
2300000,885.7,2
2400000,934.0,2
2500000,832.1,2
2600000,904.6,2
2700000,908.7,2
2800000,909.5,2
2900000,826.1,2
3000000,835.6,2
3100000,741.7,2
3200000,867.9,2
3300000,849.6,2
3400000,910.3,2
3500000,794.6,2
3600000,867.2,2
3700000,864.8,2
3800000,874.7,2
3900000,707.0,2
4000000,880.5,2
4100000,873.5,2
4200000,893.7,2
4300000,837.3,2
4400000,912.9,2
4500000,850.3,2
4600000,821.2,2
4700000,838.6,2
4800000,930.9,2
4900000,873.5,2
5000000,864.8,2
5100000,845.6,2
5200000,842.3,2
5300000,824.4,2
5400000,873.8,2
5500000,891.7,2
5600000,854.7,2
5700000,893.8,2
5800000,874.2,2
5900000,829.4,2
6000000,899.3,2
6100000,856.6,2
6200000,795.8,2
6300000,903.6,2
6400000,856.2,2
6500000,864.7,2
6600000,800.8,2
6700000,854.5,2
6800000,849.0,2
6900000,898.7,2
7000000,885.7,2
7100000,900.3,2
7200000,860.6,2
7300000,892.0,2
7400000,839.5,2
7500000,884.3,2
7600000,890.6,2
7700000,871.2,2
7800000,914.1,2
7900000,914.1,2
8000000,906.1,2
8100000,892.3,2
8200000,896.6,2
8300000,831.0,2
8400000,894.2,2
8500000,830.8,2
8600000,867.8,2
8700000,931.2,2
8800000,905.4,2
8900000,926.9,2
9000000,871.1,2
9100000,911.5,2
9200000,908.3,2
9300000,904.7,2
9400000,906.5,2
9500000,892.6,2
9600000,897.6,2
9700000,874.9,2
9800000,903.8,2
9900000,710.5,2
10000000,890.4,2
10100000,907.4,2
10200000,925.7,2
10300000,832.4,2
10400000,897.9,2
10500000,872.2,2
10600000,864.9,2
10700000,912.9,2
10800000,760.1,2
10900000,887.7,2
11000000,832.6,2
11100000,875.6,2
11200000,912.5,2
11300000,891.1,2
11400000,872.9,2
11500000,872.8,2
11600000,917.0,2
11700000,896.4,2
11800000,878.4,2
11900000,899.8,2
12000000,824.5,2
12100000,906.6,2
12200000,880.6,2
12300000,828.1,2
12400000,881.9,2
12500000,875.5,2
12600000,900.1,2
12700000,872.8,2
12800000,865.9,2
12900000,881.8,2
13000000,887.9,2
13100000,878.6,2
13200000,911.9,2
13300000,905.3,2
13400000,900.0,2
13500000,881.6,2
13600000,907.8,2
13700000,861.6,2
13800000,896.3,2
13900000,876.2,2
14000000,836.3,2
0,0.8,3
100000,1.3,3
200000,0.8,3
300000,2.9,3
400000,257.1,3
500000,344.7,3
600000,439.1,3
700000,552.1,3
800000,632.2,3
900000,551.0,3
1000000,526.5,3
1100000,624.4,3
1200000,694.2,3
1300000,622.6,3
1400000,683.4,3
1500000,822.2,3
1600000,865.5,3
1700000,858.8,3
1800000,854.4,3
1900000,857.5,3
2000000,888.6,3
2100000,841.3,3
2200000,912.2,3
2300000,887.4,3
2400000,882.9,3
2500000,897.0,3
2600000,897.0,3
2700000,880.8,3
2800000,911.5,3
2900000,904.2,3
3000000,831.3,3
3100000,895.9,3
3200000,873.8,3
3300000,898.2,3
3400000,742.4,3
3500000,791.8,3
3600000,913.8,3
3700000,867.6,3
3800000,846.5,3
3900000,879.5,3
4000000,771.3,3
4100000,891.3,3
4200000,903.1,3
4300000,816.4,3
4400000,902.5,3
4500000,889.8,3
4600000,886.8,3
4700000,880.1,3
4800000,884.7,3
4900000,893.4,3
5000000,864.7,3
5100000,767.5,3
5200000,898.4,3
5300000,886.8,3
5400000,904.7,3
5500000,892.0,3
5600000,772.3,3
5700000,805.5,3
5800000,857.0,3
5900000,892.9,3
6000000,891.8,3
6100000,861.6,3
6200000,860.8,3
6300000,908.8,3
6400000,885.6,3
6500000,850.8,3
6600000,892.0,3
6700000,851.2,3
6800000,818.2,3
6900000,882.1,3
7000000,888.5,3
7100000,815.9,3
7200000,892.3,3
7300000,846.2,3
7400000,879.4,3
7500000,885.8,3
7600000,906.2,3
7700000,856.8,3
7800000,920.5,3
7900000,857.5,3
8000000,728.5,3
8100000,882.2,3
8200000,898.1,3
8300000,794.5,3
8400000,759.6,3
8500000,921.5,3
8600000,102.1,3
8700000,866.3,3
8800000,851.1,3
8900000,846.1,3
9000000,863.6,3
9100000,869.2,3
9200000,865.6,3
9300000,895.2,3
9400000,904.5,3
9500000,896.0,3
9600000,840.7,3
9700000,896.6,3
9800000,904.6,3
9900000,904.5,3
10000000,848.7,3
10100000,822.7,3
10200000,883.0,3
10300000,864.0,3
10400000,875.7,3
10500000,863.3,3
10600000,907.3,3
10700000,873.1,3
10800000,826.4,3
10900000,900.3,3
11000000,891.5,3
11100000,868.8,3
11200000,846.7,3
11300000,845.8,3
11400000,888.6,3
11500000,832.4,3
11600000,877.6,3
11700000,731.6,3
11800000,890.6,3
11900000,901.8,3
12000000,463.0,3
12100000,891.4,3
12200000,748.7,3
12300000,730.4,3
12400000,624.0,3
12500000,874.1,3
12600000,863.7,3
12700000,884.9,3
12800000,804.1,3
12900000,794.0,3
13000000,694.7,3
13100000,866.9,3
13200000,817.4,3
13300000,755.1,3
13400000,872.0,3
13500000,836.6,3
13600000,809.9,3
13700000,807.4,3
13800000,853.2,3
13900000,770.1,3
14000000,773.3,3
0,1.2,1
100000,0.9,1
200000,1.4,1
300000,133.1,1
400000,258.0,1
500000,373.6,1
600000,472.8,1
700000,531.6,1
800000,621.6,1
900000,664.0,1
1000000,636.2,1
1100000,668.6,1
1200000,717.0,1
1300000,793.3,1
1400000,842.6,1
1500000,760.8,1
1600000,836.9,1
1700000,786.5,1
1800000,660.7,1
1900000,893.1,1
2000000,919.6,1
2100000,888.8,1
2200000,908.2,1
2300000,851.1,1
2400000,870.5,1
2500000,877.3,1
2600000,827.7,1
2700000,870.3,1
2800000,884.1,1
2900000,855.1,1
3000000,801.5,1
3100000,889.5,1
3200000,769.0,1
3300000,643.0,1
3400000,826.3,1
3500000,673.7,1
3600000,871.4,1
3700000,753.1,1
3800000,890.8,1
3900000,898.4,1
4000000,762.2,1
4100000,842.7,1
4200000,854.7,1
4300000,794.2,1
4400000,833.3,1
4500000,837.2,1
4600000,853.9,1
4700000,842.7,1
4800000,876.3,1
4900000,897.4,1
5000000,796.1,1
5100000,920.6,1
5200000,875.2,1
5300000,897.1,1
5400000,892.9,1
5500000,735.5,1
5600000,890.1,1
5700000,902.3,1
5800000,810.9,1
5900000,892.6,1
6000000,885.1,1
