step,reward,seed
0,101.9,3
100000,829.0,3
200000,869.8,3
300000,833.8,3
400000,818.4,3
500000,845.3,3
600000,832.5,3
700000,865.0,3
800000,826.5,3
900000,826.8,3
1000000,847.3,3
1100000,847.0,3
1200000,864.2,3
1300000,843.2,3
1400000,829.7,3
1500000,840.1,3
1600000,841.5,3
1700000,811.2,3
1800000,834.2,3
1900000,829.6,3
2000000,827.0,3
2100000,815.7,3
2200000,805.0,3
2300000,855.2,3
2400000,829.7,3
2500000,846.8,3
2600000,830.3,3
2700000,838.6,3
2800000,864.4,3
2900000,869.9,3
3000000,857.2,3
3100000,825.4,3
3200000,828.7,3
3300000,825.0,3
3400000,830.6,3
3500000,833.4,3
3600000,821.1,3
3700000,864.2,3
3800000,842.8,3
3900000,852.0,3
4000000,795.1,3
0,127.6,1
100000,807.7,1
200000,838.9,1
300000,839.2,1
400000,796.9,1
500000,854.1,1
600000,832.4,1
700000,873.5,1
800000,861.5,1
900000,873.6,1
1000000,839.6,1
1100000,834.1,1
1200000,811.6,1
1300000,834.4,1
1400000,819.6,1
1500000,850.9,1
1600000,844.6,1
1700000,873.3,1
1800000,837.2,1
1900000,852.2,1
2000000,842.4,1
2100000,850.8,1
2200000,836.4,1
2300000,802.6,1
2400000,819.2,1
2500000,820.0,1
2600000,844.3,1
2700000,855.3,1
2800000,847.9,1
2900000,823.7,1
3000000,841.6,1
3100000,844.1,1
3200000,824.5,1
3300000,813.4,1
3400000,846.5,1
3500000,863.6,1
3600000,821.9,1
3700000,867.4,1
3800000,867.0,1
3900000,861.9,1
4000000,846.6,1
0,130.8,2
100000,882.4,2
200000,837.4,2
300000,841.0,2
400000,877.4,2
500000,840.0,2
600000,881.1,2
700000,843.0,2
800000,824.0,2
900000,848.0,2
1000000,846.7,2
1100000,835.5,2
1200000,850.5,2
1300000,821.3,2
1400000,829.8,2
1500000,855.4,2
1600000,852.2,2
1700000,868.4,2
1800000,873.0,2
1900000,823.2,2
2000000,845.7,2
2100000,836.4,2
2200000,865.2,2
2300000,819.8,2
2400000,815.8,2
2500000,843.0,2
2600000,891.6,2
2700000,845.1,2
2800000,834.1,2
2900000,859.2,2
3000000,830.5,2
3100000,832.7,2
3200000,875.7,2
3300000,865.9,2
3400000,850.1,2
3500000,863.3,2
3600000,864.0,2
3700000,858.4,2
3800000,836.0,2
3900000,863.3,2
4000000,855.6,2
