step,reward,seed
0,1.2,3
100000,280.0,3
200000,876.8,3
300000,832.6,3
400000,800.1,3
500000,832.6,3
600000,831.2,3
700000,887.8,3
800000,811.9,3
900000,807.8,3
1000000,786.4,3
1100000,840.2,3
1200000,874.7,3
1300000,843.0,3
1400000,800.4,3
1500000,842.4,3
1600000,833.6,3
1700000,779.6,3
1800000,832.3,3
1900000,814.7,3
2000000,820.4,3
2100000,796.5,3
2200000,772.8,3
2300000,848.4,3
2400000,809.3,3
2500000,854.2,3
2600000,823.7,3
2700000,836.4,3
2800000,871.7,3
2900000,884.6,3
3000000,862.7,3
0,0.0,3
100000,800.1,3
200000,816.2,3
300000,834.9,3
400000,885.3,3
500000,800.5,3
600000,847.8,3
700000,855.0,3
800000,832.9,3
900000,897.9,3
1000000,824.1,3
1100000,761.3,3
1200000,878.7,3
1300000,824.9,3
1400000,834.2,3
1500000,852.7,3
1600000,878.5,3
1700000,842.0,3
1800000,856.9,3
1900000,854.4,3
2000000,804.1,3
2100000,802.4,3
2200000,843.5,3
2300000,822.1,3
2400000,786.3,3
2500000,856.8,3
2600000,815.7,3
2700000,819.5,3
2800000,877.9,3
2900000,827.0,3
3000000,794.5,3
3100000,809.3,3
3200000,831.5,3
3300000,826.7,3
3400000,859.2,3
3500000,893.5,3
3600000,857.3,3
3700000,803.9,3
3800000,812.2,3
3900000,827.5,3
4000000,836.7,3
0,0.0,1
100000,349.0,1
200000,816.7,1
300000,828.2,1
400000,761.5,1
500000,855.5,1
600000,792.1,1
700000,876.0,1
800000,877.3,1
900000,873.7,1
1000000,820.6,1
1100000,804.6,1
1200000,770.0,1
1300000,806.9,1
1400000,785.6,1
1500000,841.5,1
1600000,837.8,1
1700000,882.8,1
1800000,826.2,1
1900000,844.1,1
2000000,833.6,1
2100000,835.5,1
2200000,826.4,1
2300000,765.6,1
2400000,784.0,1
2500000,647.3,1
2600000,831.1,1
2700000,849.7,1
2800000,833.0,1
2900000,798.2,1
3000000,815.5,1
3100000,823.0,1
3200000,796.7,1
3300000,779.4,1
3400000,827.2,1
3500000,858.0,1
3600000,794.8,1
3700000,873.9,1
3800000,870.8,1
3900000,861.3,1
4000000,764.5,1
0,0.0,2
100000,100.0,2
200000,0.0,2
300000,4.1,2
400000,0.0,2
500000,98.6,2
600000,294.7,2
700000,0.0,2
800000,0.0,2
900000,0.0,2
1000000,200.0,2
1100000,0.0,2
1200000,0.0,2
1300000,0.0,2
1400000,0.0,2
1500000,98.0,2
1600000,100.0,2
1700000,193.4,2
1800000,97.6,2
1900000,100.0,2
2000000,0.0,2
2100000,0.0,2
2200000,0.0,2
2300000,0.0,2
2400000,100.0,2
2500000,0.0,2
2600000,99.1,2
2700000,100.0,2
2800000,185.8,2
2900000,0.0,2
3000000,0.0,2
3100000,0.0,2
3200000,198.7,2
3300000,0.0,2
3400000,0.0,2
3500000,99.2,2
3600000,98.8,2
3700000,100.0,2
3800000,100.0,2
3900000,0.0,2
4000000,200.0,2
