step,reward,seed
0,103.9,1
100000,332.7,1
200000,711.9,1
300000,745.4,1
400000,787.7,1
500000,744.3,1
600000,776.6,1
700000,838.9,1
800000,830.2,1
900000,850.0,1
1000000,851.8,1
1100000,852.4,1
1200000,845.2,1
1300000,840.5,1
1400000,850.7,1
1500000,847.7,1
1600000,886.6,1
1700000,850.5,1
1800000,872.5,1
1900000,859.5,1
2000000,857.0,1
2100000,858.8,1
2200000,851.1,1
2300000,857.1,1
2400000,872.4,1
2500000,850.0,1
2600000,879.0,1
2700000,871.0,1
2800000,865.8,1
2900000,856.7,1
3000000,874.2,1
3100000,851.5,1
3200000,859.5,1
3300000,883.1,1
3400000,866.5,1
3500000,872.6,1
3600000,882.2,1
3700000,851.8,1
3800000,850.7,1
3900000,869.1,1
4000000,859.9,1
0,202.2,3
100000,853.9,3
200000,883.9,3
300000,833.4,3
400000,908.0,3
500000,906.0,3
600000,906.4,3
700000,903.1,3
800000,911.9,3
900000,937.7,3
1000000,926.6,3
1100000,921.0,3
1200000,945.1,3
1300000,956.7,3
1400000,937.4,3
1500000,951.5,3
1600000,936.5,3
1700000,950.3,3
1800000,944.4,3
1900000,955.9,3
2000000,948.7,3
2100000,941.0,3
2200000,947.2,3
2300000,944.0,3
2400000,947.9,3
2500000,944.1,3
2600000,931.1,3
2700000,946.6,3
2800000,950.9,3
2900000,945.0,3
3000000,946.0,3
3100000,948.3,3
3200000,915.8,3
3300000,946.0,3
3400000,945.1,3
3500000,923.4,3
3600000,948.0,3
3700000,940.5,3
3800000,949.0,3
3900000,941.8,3
4000000,946.7,3
0,54.5,2
100000,295.2,2
200000,761.4,2
300000,847.7,2
400000,863.7,2
500000,918.0,2
600000,902.8,2
700000,907.8,2
800000,938.5,2
900000,899.8,2
1000000,902.2,2
1100000,919.7,2
1200000,933.5,2
1300000,922.5,2
1400000,927.0,2
1500000,923.6,2
1600000,940.4,2
1700000,937.4,2
1800000,945.3,2
1900000,934.0,2
2000000,933.4,2
2100000,944.7,2
2200000,944.5,2
2300000,936.8,2
2400000,942.8,2
2500000,939.5,2
2600000,933.4,2
2700000,938.4,2
2800000,943.8,2
2900000,936.4,2
3000000,939.9,2
3100000,935.3,2
3200000,931.0,2
3300000,928.8,2
3400000,916.6,2
3500000,935.0,2
3600000,930.0,2
3700000,945.3,2
3800000,925.6,2
3900000,932.1,2
4000000,927.7,2
