step,reward,seed
0,206.7,3
100000,835.9,3
200000,920.4,3
300000,873.5,3
400000,918.8,3
500000,937.9,3
600000,903.5,3
700000,925.0,3
800000,939.3,3
900000,953.7,3
1000000,945.3,3
1100000,954.0,3
1200000,958.8,3
1300000,962.3,3
1400000,956.2,3
1500000,949.5,3
1600000,962.4,3
1700000,953.6,3
1800000,963.7,3
1900000,953.8,3
2000000,957.9,3
2100000,943.7,3
2200000,960.2,3
2300000,956.8,3
2400000,939.1,3
2500000,956.6,3
2600000,947.6,3
2700000,951.8,3
2800000,957.3,3
2900000,924.6,3
3000000,946.6,3
3100000,968.0,3
3200000,943.5,3
3300000,304.1,3
3400000,477.4,3
3500000,12.5,3
3600000,209.4,3
3700000,299.1,3
3800000,312.4,3
3900000,108.0,3
4000000,294.8,3
0,106.4,1
100000,629.6,1
200000,940.3,1
300000,940.1,1
400000,907.5,1
500000,900.6,1
600000,954.9,1
700000,961.3,1
800000,952.3,1
900000,956.3,1
1000000,964.8,1
1100000,931.6,1
1200000,951.6,1
1300000,964.6,1
1400000,962.5,1
1500000,949.2,1
1600000,964.5,1
1700000,962.3,1
1800000,954.7,1
1900000,956.1,1
2000000,956.8,1
2100000,938.3,1
2200000,947.2,1
2300000,964.3,1
2400000,969.0,1
2500000,904.5,1
2600000,958.6,1
2700000,806.6,1
2800000,199.3,1
2900000,962.0,1
3000000,924.8,1
3100000,296.4,1
3200000,295.7,1
3300000,950.0,1
3400000,904.0,1
3500000,288.0,1
3600000,693.4,1
3700000,307.1,1
3800000,219.0,1
3900000,323.3,1
4000000,279.6,1
0,51.6,2
100000,826.6,2
200000,917.8,2
300000,903.7,2
400000,831.0,2
500000,905.5,2
600000,932.5,2
700000,936.8,2
800000,959.2,2
900000,948.2,2
1000000,942.4,2
1100000,954.2,2
1200000,972.5,2
1300000,967.9,2
1400000,968.6,2
1500000,972.2,2
1600000,963.0,2
1700000,956.3,2
1800000,959.9,2
1900000,957.7,2
2000000,955.3,2
2100000,961.6,2
2200000,958.9,2
2300000,937.7,2
2400000,884.0,2
2500000,199.9,2
2600000,208.8,2
2700000,119.6,2
2800000,198.1,2
2900000,272.3,2
3000000,291.2,2
3100000,215.6,2
3200000,300.1,2
3300000,8.8,2
3400000,194.4,2
3500000,42.0,2
3600000,10.8,2
3700000,300.5,2
3800000,205.2,2
3900000,293.6,2
4000000,12.9,2
