step,reward,seed
0,23.3,3
100000,934.0,3
200000,983.5,3
300000,970.1,3
400000,887.6,3
500000,985.7,3
600000,980.4,3
700000,981.1,3
800000,986.4,3
900000,948.3,3
1000000,987.9,3
1100000,985.4,3
1200000,988.4,3
1300000,983.1,3
1400000,985.8,3
1500000,981.6,3
1600000,989.7,3
1700000,988.3,3
1800000,983.7,3
1900000,987.0,3
2000000,981.2,3
2100000,983.8,3
2200000,981.6,3
2300000,984.7,3
2400000,990.7,3
2500000,983.1,3
2600000,968.1,3
2700000,984.8,3
2800000,981.5,3
2900000,989.5,3
3000000,984.0,3
3100000,984.3,3
3200000,966.4,3
3300000,984.7,3
3400000,985.8,3
3500000,960.2,3
3600000,984.9,3
3700000,986.1,3
3800000,981.3,3
3900000,986.5,3
4000000,987.9,3
0,62.2,1
100000,734.1,1
200000,712.4,1
300000,854.4,1
400000,980.6,1
500000,986.8,1
600000,985.3,1
700000,981.5,1
800000,893.1,1
900000,989.2,1
1000000,981.9,1
1100000,980.1,1
1200000,987.7,1
1300000,983.8,1
1400000,989.2,1
1500000,983.3,1
1600000,984.6,1
1700000,985.0,1
1800000,991.7,1
1900000,985.7,1
2000000,980.5,1
2100000,985.9,1
2200000,981.4,1
2300000,982.6,1
2400000,987.4,1
2500000,981.3,1
2600000,988.9,1
2700000,984.6,1
2800000,991.2,1
2900000,983.0,1
3000000,986.7,1
3100000,988.7,1
3200000,986.8,1
3300000,983.7,1
3400000,989.3,1
3500000,986.6,1
3600000,985.4,1
3700000,978.9,1
3800000,984.6,1
3900000,986.2,1
4000000,987.7,1
0,99.9,2
100000,828.5,2
200000,885.4,2
300000,982.1,2
400000,982.2,2
500000,988.6,2
600000,986.5,2
700000,983.4,2
800000,984.3,2
900000,981.1,2
1000000,982.2,2
1100000,986.2,2
1200000,984.4,2
1300000,989.2,2
1400000,985.1,2
1500000,984.5,2
1600000,983.4,2
1700000,989.5,2
1800000,983.9,2
1900000,981.7,2
2000000,982.5,2
2100000,978.3,2
2200000,985.0,2
2300000,988.5,2
2400000,988.9,2
2500000,987.0,2
2600000,982.8,2
2700000,986.9,2
2800000,985.9,2
2900000,979.1,2
3000000,984.0,2
3100000,982.1,2
3200000,985.2,2
3300000,985.2,2
3400000,980.5,2
3500000,985.0,2
3600000,989.3,2
3700000,986.8,2
3800000,980.3,2
3900000,986.0,2
4000000,983.1,2
