step,reward,seed
0,1.2,3
100000,760.7,3
200000,975.2,3
300000,965.4,3
400000,969.8,3
500000,967.3,3
600000,972.1,3
700000,974.6,3
800000,979.4,3
900000,973.7,3
1000000,969.1,3
1100000,977.0,3
1200000,957.4,3
1300000,975.2,3
1400000,973.4,3
1500000,970.4,3
1600000,981.8,3
1700000,980.0,3
1800000,974.0,3
1900000,973.3,3
2000000,970.2,3
2100000,972.4,3
2200000,975.6,3
2300000,977.3,3
2400000,976.5,3
2500000,971.3,3
2600000,977.9,3
2700000,966.7,3
2800000,974.3,3
2900000,979.2,3
3000000,976.9,3
3100000,974.4,3
3200000,976.5,3
3300000,974.9,3
3400000,955.3,3
3500000,971.2,3
3600000,973.2,3
3700000,977.7,3
3800000,971.7,3
3900000,976.4,3
4000000,979.8,3
0,20.7,2
100000,675.1,2
200000,962.9,2
300000,862.6,2
400000,965.0,2
500000,947.2,2
600000,971.4,2
700000,962.8,2
800000,970.3,2
900000,869.0,2
1000000,972.9,2
1100000,975.6,2
1200000,969.4,2
1300000,975.4,2
1400000,978.3,2
1500000,978.0,2
1600000,876.2,2
1700000,978.6,2
1800000,971.9,2
1900000,969.9,2
2000000,968.4,2
2100000,970.5,2
2200000,978.1,2
2300000,968.5,2
2400000,971.1,2
2500000,973.1,2
2600000,971.9,2
2700000,977.5,2
2800000,970.1,2
2900000,969.3,2
3000000,979.0,2
3100000,871.9,2
3200000,976.3,2
3300000,978.9,2
3400000,976.1,2
3500000,979.0,2
3600000,882.4,2
3700000,883.5,2
3800000,971.7,2
3900000,982.8,2
4000000,984.7,2
0,7.4,1
100000,975.1,1
200000,972.0,1
300000,969.9,1
400000,975.6,1
500000,970.6,1
600000,973.2,1
700000,970.0,1
800000,965.7,1
900000,871.3,1
1000000,968.7,1
1100000,969.4,1
1200000,971.8,1
1300000,970.1,1
1400000,981.5,1
1500000,970.8,1
1600000,981.1,1
1700000,975.3,1
1800000,979.6,1
1900000,977.7,1
2000000,968.7,1
2100000,881.4,1
2200000,969.1,1
2300000,972.5,1
2400000,967.7,1
2500000,970.1,1
2600000,973.3,1
2700000,971.8,1
2800000,973.7,1
2900000,972.1,1
3000000,975.0,1
3100000,975.9,1
3200000,975.4,1
3300000,972.2,1
3400000,979.4,1
3500000,978.1,1
3600000,974.4,1
3700000,965.9,1
3800000,974.9,1
3900000,976.7,1
4000000,972.3,1
