step,reward,seed
0,31.4,3
100000,637.2,3
200000,813.9,3
300000,879.9,3
400000,976.9,3
500000,979.5,3
600000,982.9,3
700000,979.3,3
800000,980.8,3
900000,906.0,3
1000000,980.9,3
1100000,975.8,3
1200000,982.0,3
1300000,984.2,3
1400000,981.2,3
1500000,978.6,3
1600000,978.8,3
1700000,980.4,3
1800000,979.5,3
1900000,987.2,3
2000000,980.6,3
2100000,981.8,3
2200000,984.6,3
2300000,984.9,3
2400000,983.5,3
2500000,985.0,3
2600000,979.9,3
2700000,982.8,3
2800000,981.8,3
2900000,980.5,3
3000000,981.5,3
3100000,971.8,3
3200000,986.1,3
3300000,982.8,3
3400000,982.5,3
3500000,980.7,3
3600000,979.6,3
3700000,980.2,3
3800000,973.0,3
3900000,969.3,3
4000000,980.0,3
0,5.8,2
100000,675.6,2
200000,928.7,2
300000,877.5,2
400000,954.8,2
500000,671.0,2
600000,882.2,2
700000,976.5,2
800000,862.3,2
900000,981.8,2
1000000,981.5,2
1100000,974.6,2
1200000,983.3,2
1300000,883.0,2
1400000,983.8,2
1500000,983.4,2
1600000,983.5,2
1700000,983.9,2
1800000,949.1,2
1900000,979.6,2
2000000,980.6,2
2100000,986.2,2
2200000,981.6,2
2300000,984.9,2
2400000,981.8,2
2500000,981.1,2
2600000,980.4,2
2700000,983.1,2
2800000,976.7,2
2900000,981.9,2
3000000,980.8,2
3100000,980.8,2
3200000,983.1,2
3300000,975.5,2
3400000,981.2,2
3500000,980.5,2
3600000,985.0,2
3700000,979.8,2
3800000,953.4,2
3900000,981.6,2
4000000,984.1,2
0,16.9,1
100000,671.1,1
200000,587.2,1
300000,966.8,1
400000,975.5,1
500000,735.6,1
600000,978.3,1
700000,978.4,1
800000,970.6,1
900000,970.2,1
1000000,898.8,1
1100000,885.3,1
1200000,972.1,1
1300000,977.5,1
1400000,971.5,1
1500000,984.9,1
1600000,977.8,1
1700000,977.3,1
1800000,985.6,1
1900000,981.4,1
2000000,978.5,1
2100000,985.3,1
2200000,978.6,1
2300000,981.6,1
2400000,981.5,1
2500000,978.5,1
2600000,981.3,1
2700000,984.2,1
2800000,980.1,1
2900000,979.5,1
3000000,970.1,1
3100000,977.0,1
3200000,982.7,1
3300000,977.9,1
3400000,982.0,1
3500000,983.7,1
3600000,959.7,1
3700000,980.6,1
3800000,985.5,1
3900000,968.8,1
4000000,979.1,1
