step,reward,seed
0,4.7,3
100000,383.0,3
200000,383.4,3
300000,479.7,3
400000,525.1,3
500000,867.9,3
600000,771.8,3
700000,797.0,3
800000,767.3,3
900000,682.1,3
1000000,709.5,3
1100000,678.6,3
1200000,876.2,3
1300000,782.0,3
1400000,864.7,3
1500000,791.3,3
1600000,871.6,3
1700000,683.3,3
1800000,677.1,3
1900000,879.2,3
2000000,772.6,3
2100000,485.8,3
2200000,683.5,3
2300000,777.6,3
2400000,783.6,3
2500000,978.6,3
2600000,678.1,3
2700000,582.1,3
2800000,877.2,3
2900000,755.3,3
3000000,857.2,3
3100000,953.1,3
3200000,874.1,3
3300000,878.6,3
3400000,788.9,3
3500000,585.1,3
3600000,962.6,3
3700000,891.1,3
3800000,877.0,3
3900000,487.7,3
4000000,928.9,3
0,1.8,1
100000,14.6,1
200000,282.7,1
300000,581.2,1
400000,875.0,1
500000,581.7,1
600000,969.0,1
700000,876.1,1
800000,691.9,1
900000,757.7,1
1000000,872.4,1
1100000,870.6,1
1200000,687.9,1
1300000,872.7,1
1400000,769.8,1
1500000,878.8,1
1600000,869.4,1
1700000,969.0,1
1800000,879.0,1
1900000,886.5,1
2000000,877.8,1
2100000,882.2,1
2200000,673.9,1
2300000,678.4,1
2400000,780.1,1
2500000,874.0,1
2600000,777.9,1
2700000,778.2,1
2800000,588.0,1
2900000,779.8,1
3000000,772.1,1
3100000,875.4,1
3200000,877.0,1
3300000,784.5,1
3400000,581.4,1
3500000,793.8,1
3600000,792.8,1
3700000,878.7,1
3800000,876.9,1
3900000,679.6,1
4000000,804.7,1
0,0.0,2
100000,189.0,2
200000,316.8,2
300000,664.4,2
400000,672.3,2
500000,670.7,2
600000,873.3,2
700000,671.2,2
800000,779.2,2
900000,877.0,2
1000000,781.9,2
1100000,680.8,2
1200000,877.9,2
1300000,773.4,2
1400000,868.7,2
1500000,783.5,2
1600000,974.9,2
1700000,878.6,2
1800000,872.5,2
1900000,876.6,2
2000000,972.7,2
2100000,678.0,2
2200000,676.5,2
2300000,879.6,2
2400000,873.4,2
2500000,878.0,2
2600000,681.1,2
2700000,872.6,2
2800000,878.3,2
2900000,843.4,2
3000000,880.2,2
3100000,962.8,2
3200000,973.2,2
3300000,971.9,2
3400000,971.7,2
3500000,586.0,2
3600000,780.3,2
3700000,879.5,2
3800000,781.9,2
3900000,874.9,2
4000000,782.4,2
