step,reward,seed
0,23.6,1
100000,572.0,1
200000,620.9,1
300000,634.0,1
400000,637.6,1
500000,668.2,1
600000,696.9,1
700000,707.5,1
800000,703.9,1
900000,713.5,1
1000000,706.1,1
1100000,691.9,1
1200000,711.5,1
1300000,713.6,1
1400000,728.5,1
1500000,729.1,1
1600000,718.9,1
1700000,733.4,1
1800000,729.6,1
1900000,717.2,1
2000000,725.1,1
2100000,734.0,1
2200000,724.4,1
2300000,741.9,1
2400000,752.2,1
2500000,737.4,1
2600000,740.9,1
2700000,738.9,1
2800000,737.9,1
2900000,738.7,1
3000000,737.9,1
0,22.6,2
100000,509.9,2
200000,567.2,2
300000,592.9,2
400000,605.6,2
500000,632.5,2
600000,609.6,2
700000,623.2,2
800000,622.2,2
900000,628.5,2
1000000,625.4,2
1100000,621.2,2
1200000,624.8,2
1300000,625.4,2
1400000,631.5,2
1500000,638.0,2
1600000,630.7,2
1700000,639.9,2
1800000,643.1,2
1900000,641.0,2
2000000,637.6,2
2100000,637.9,2
2200000,645.1,2
2300000,653.6,2
2400000,653.9,2
2500000,649.8,2
2600000,664.6,2
2700000,659.2,2
2800000,640.4,2
2900000,655.5,2
3000000,670.1,2
3100000,671.9,2
3200000,682.3,2
3300000,685.8,2
3400000,691.3,2
3500000,685.3,2
3600000,684.6,2
3700000,692.7,2
3800000,691.3,2
3900000,692.0,2
4000000,686.8,2
0,23.9,3
100000,557.2,3
200000,673.1,3
300000,719.1,3
400000,739.0,3
500000,732.8,3
600000,736.1,3
700000,753.1,3
800000,752.7,3
900000,750.6,3
1000000,769.2,3
1100000,756.0,3
1200000,763.5,3
1300000,772.4,3
1400000,775.2,3
1500000,756.5,3
1600000,765.0,3
1700000,771.6,3
1800000,771.5,3
1900000,776.3,3
2000000,765.6,3
2100000,773.6,3
2200000,766.5,3
2300000,782.6,3
2400000,787.3,3
2500000,760.3,3
2600000,769.9,3
2700000,774.4,3
2800000,780.0,3
2900000,773.3,3
3000000,795.6,3
3100000,783.5,3
3200000,789.9,3
3300000,779.7,3
3400000,802.4,3
3500000,792.8,3
3600000,803.6,3
3700000,759.8,3
3800000,802.3,3
3900000,793.7,3
4000000,752.1,3
0,25.3,2
100000,579.8,2
200000,628.8,2
300000,663.0,2
400000,665.8,2
500000,699.5,2
600000,699.5,2
700000,726.8,2
0,25.0,1
100000,503.2,1
200000,612.1,1
300000,647.9,1
400000,659.1,1
500000,698.0,1
600000,716.2,1
700000,739.8,1
