step,reward,seed
0,24.0,3
100000,751.7,3
200000,803.8,3
300000,813.4,3
400000,800.9,3
500000,823.6,3
600000,826.0,3
700000,817.1,3
800000,824.5,3
900000,826.1,3
1000000,833.4,3
1100000,833.4,3
1200000,824.6,3
1300000,835.3,3
1400000,832.8,3
1500000,835.1,3
1600000,839.3,3
1700000,831.3,3
1800000,838.0,3
1900000,845.4,3
2000000,823.5,3
2100000,832.1,3
2200000,830.7,3
2300000,804.2,3
2400000,828.2,3
2500000,842.0,3
2600000,822.5,3
2700000,836.8,3
2800000,833.7,3
2900000,845.5,3
3000000,839.6,3
3100000,831.7,3
3200000,832.0,3
3300000,835.2,3
3400000,833.9,3
3500000,836.1,3
3600000,842.6,3
3700000,837.0,3
3800000,844.7,3
3900000,846.2,3
4000000,841.9,3
0,24.1,2
100000,739.1,2
200000,764.0,2
300000,792.2,2
400000,802.9,2
500000,811.0,2
600000,819.6,2
700000,829.1,2
800000,818.3,2
900000,813.7,2
1000000,817.2,2
1100000,828.6,2
1200000,827.9,2
1300000,828.5,2
1400000,829.0,2
1500000,830.5,2
1600000,824.4,2
1700000,830.1,2
1800000,821.5,2
1900000,833.8,2
2000000,829.8,2
2100000,835.5,2
2200000,832.7,2
2300000,829.0,2
2400000,834.6,2
2500000,831.2,2
2600000,831.9,2
2700000,827.9,2
2800000,831.8,2
2900000,830.0,2
3000000,821.4,2
3100000,821.0,2
3200000,822.5,2
3300000,652.4,2
3400000,838.8,2
3500000,689.0,2
3600000,831.9,2
3700000,838.6,2
3800000,835.8,2
3900000,834.3,2
4000000,837.4,2
0,23.4,1
100000,743.5,1
200000,787.7,1
300000,814.7,1
400000,815.5,1
500000,826.1,1
600000,823.6,1
700000,821.2,1
800000,828.9,1
900000,832.6,1
1000000,822.6,1
1100000,832.7,1
1200000,834.1,1
1300000,828.3,1
1400000,833.1,1
1500000,833.8,1
1600000,832.3,1
1700000,828.0,1
1800000,834.6,1
1900000,835.5,1
2000000,837.5,1
2100000,823.5,1
2200000,836.8,1
2300000,835.4,1
2400000,840.4,1
2500000,843.4,1
2600000,842.4,1
2700000,830.2,1
2800000,835.2,1
2900000,834.6,1
3000000,838.3,1
3100000,831.4,1
3200000,834.7,1
3300000,828.0,1
3400000,835.0,1
3500000,830.7,1
3600000,830.4,1
3700000,832.0,1
3800000,836.8,1
3900000,835.3,1
4000000,840.3,1
