step,reward,seed
0,132.3,3
100000,979.0,3
200000,987.0,3
300000,986.3,3
400000,984.3,3
500000,993.4,3
600000,989.7,3
700000,992.3,3
800000,989.6,3
900000,983.5,3
1000000,994.3,3
1100000,991.2,3
1200000,991.9,3
1300000,988.6,3
1400000,990.7,3
1500000,988.0,3
1600000,991.5,3
1700000,990.3,3
1800000,994.0,3
1900000,991.9,3
2000000,983.9,3
2100000,987.2,3
2200000,558.1,3
2300000,975.7,3
2400000,642.9,3
2500000,414.3,3
2600000,648.2,3
2700000,292.4,3
2800000,154.3,3
2900000,290.4,3
3000000,985.9,3
3100000,951.6,3
3200000,464.4,3
3300000,857.4,3
3400000,914.3,3
3500000,294.2,3
3600000,839.2,3
3700000,933.2,3
3800000,133.6,3
3900000,281.1,3
4000000,888.2,3
0,133.8,1
100000,977.0,1
200000,982.0,1
300000,988.4,1
400000,989.7,1
500000,993.0,1
600000,990.4,1
700000,993.7,1
800000,991.4,1
900000,989.5,1
1000000,991.2,1
1100000,992.0,1
1200000,997.5,1
1300000,983.4,1
1400000,997.8,1
1500000,990.5,1
1600000,987.7,1
1700000,989.1,1
1800000,994.7,1
1900000,993.4,1
2000000,991.4,1
2100000,991.3,1
2200000,988.8,1
2300000,876.7,1
2400000,339.9,1
2500000,109.2,1
2600000,162.6,1
2700000,161.8,1
2800000,231.2,1
2900000,721.2,1
3000000,153.8,1
3100000,237.2,1
3200000,133.5,1
3300000,99.6,1
3400000,153.3,1
3500000,176.5,1
3600000,216.6,1
3700000,263.3,1
3800000,313.1,1
3900000,418.5,1
4000000,898.6,1
0,136.7,2
100000,973.4,2
200000,986.0,2
300000,992.3,2
400000,986.1,2
500000,995.3,2
600000,985.2,2
700000,996.7,2
800000,990.9,2
900000,984.3,2
1000000,989.1,2
1100000,990.8,2
1200000,990.4,2
1300000,993.7,2
1400000,993.2,2
1500000,992.8,2
1600000,986.8,2
1700000,681.0,2
1800000,722.4,2
1900000,205.5,2
2000000,290.5,2
2100000,837.1,2
2200000,284.2,2
2300000,423.7,2
2400000,680.1,2
2500000,381.7,2
2600000,264.4,2
2700000,463.6,2
2800000,887.8,2
2900000,371.9,2
3000000,264.8,2
3100000,249.5,2
3200000,268.7,2
3300000,270.2,2
3400000,274.2,2
3500000,387.7,2
3600000,262.6,2
3700000,499.8,2
3800000,681.5,2
3900000,291.8,2
4000000,692.5,2
