step,reward,seed
0,32.4,2
100000,952.5,2
200000,962.4,2
300000,966.7,2
400000,978.9,2
500000,975.8,2
600000,975.1,2
700000,973.1,2
800000,978.9,2
900000,977.0,2
1000000,975.3,2
1100000,977.0,2
1200000,975.5,2
1300000,977.6,2
1400000,983.6,2
1500000,981.0,2
1600000,985.9,2
1700000,976.5,2
1800000,979.2,2
1900000,979.7,2
2000000,980.6,2
2100000,973.8,2
2200000,983.6,2
2300000,979.6,2
2400000,977.6,2
2500000,974.2,2
2600000,975.0,2
2700000,975.2,2
2800000,972.7,2
2900000,969.3,2
3000000,974.8,2
3100000,973.8,2
3200000,971.4,2
3300000,973.2,2
3400000,982.2,2
3500000,982.3,2
3600000,961.2,2
3700000,975.0,2
3800000,977.2,2
3900000,967.6,2
4000000,808.8,2
0,34.9,1
100000,956.7,1
200000,978.0,1
300000,969.3,1
400000,969.9,1
500000,973.9,1
600000,975.2,1
700000,979.8,1
800000,981.3,1
900000,976.4,1
1000000,984.3,1
1100000,975.4,1
1200000,973.8,1
1300000,975.6,1
1400000,980.3,1
1500000,975.6,1
1600000,981.7,1
1700000,980.4,1
1800000,981.9,1
1900000,978.3,1
2000000,976.3,1
2100000,984.4,1
2200000,976.1,1
2300000,976.3,1
2400000,984.1,1
2500000,980.6,1
2600000,975.3,1
2700000,976.2,1
2800000,944.6,1
2900000,968.2,1
3000000,974.9,1
3100000,970.1,1
3200000,893.0,1
3300000,890.9,1
3400000,640.8,1
3500000,751.2,1
3600000,31.7,1
3700000,149.6,1
3800000,506.9,1
3900000,58.8,1
4000000,879.6,1
0,36.7,3
100000,963.0,3
200000,965.3,3
300000,962.2,3
400000,976.1,3
500000,972.5,3
600000,978.2,3
700000,981.4,3
800000,967.0,3
900000,974.9,3
1000000,980.2,3
1100000,982.4,3
1200000,978.0,3
1300000,972.5,3
1400000,975.2,3
1500000,974.8,3
1600000,979.5,3
1700000,976.3,3
1800000,983.6,3
1900000,982.7,3
2000000,976.6,3
2100000,982.4,3
2200000,975.1,3
2300000,977.9,3
2400000,980.1,3
2500000,970.7,3
2600000,946.3,3
2700000,517.6,3
2800000,856.2,3
2900000,390.2,3
3000000,943.9,3
3100000,829.7,3
3200000,212.7,3
3300000,63.1,3
3400000,80.4,3
3500000,88.5,3
3600000,53.9,3
3700000,42.6,3
3800000,65.3,3
3900000,49.7,3
4000000,50.5,3
0,42.8,2
100000,968.6,2
200000,968.7,2
300000,954.3,2
400000,971.4,2
500000,984.6,2
600000,980.4,2
700000,984.9,2
0,43.9,1
100000,944.9,1
200000,962.5,1
300000,974.8,1
400000,975.4,1
500000,977.6,1
600000,978.3,1
700000,978.6,1
