step,reward,seed
0,37.5,3
100000,956.4,3
200000,976.5,3
300000,979.8,3
400000,970.9,3
500000,973.0,3
600000,982.0,3
700000,982.8,3
800000,975.5,3
900000,968.1,3
1000000,980.9,3
1100000,979.8,3
1200000,980.8,3
1300000,979.7,3
1400000,982.1,3
1500000,975.0,3
1600000,980.8,3
1700000,974.0,3
1800000,980.1,3
1900000,980.6,3
2000000,976.0,3
2100000,877.8,3
2200000,184.1,3
2300000,146.3,3
2400000,215.3,3
2500000,272.0,3
2600000,134.7,3
2700000,151.4,3
2800000,53.1,3
2900000,46.8,3
3000000,52.3,3
3100000,51.2,3
3200000,32.1,3
3300000,151.3,3
3400000,623.0,3
3500000,96.7,3
3600000,137.1,3
3700000,58.3,3
3800000,32.4,3
3900000,72.5,3
4000000,165.3,3
0,33.0,2
100000,971.1,2
200000,966.6,2
300000,976.3,2
400000,976.2,2
500000,980.7,2
600000,981.6,2
700000,983.6,2
800000,980.0,2
900000,972.2,2
1000000,973.1,2
1100000,978.3,2
1200000,979.3,2
1300000,982.6,2
1400000,983.8,2
1500000,981.7,2
1600000,977.7,2
1700000,977.2,2
1800000,977.2,2
1900000,987.7,2
2000000,977.2,2
2100000,983.7,2
2200000,974.6,2
2300000,979.4,2
2400000,977.8,2
2500000,300.3,2
2600000,26.4,2
2700000,108.0,2
2800000,415.3,2
2900000,522.8,2
3000000,550.5,2
3100000,67.7,2
3200000,25.3,2
3300000,119.7,2
3400000,515.2,2
3500000,922.8,2
3600000,299.1,2
3700000,50.9,2
3800000,59.0,2
3900000,19.3,2
4000000,136.3,2
0,31.1,1
100000,963.0,1
200000,967.3,1
300000,978.9,1
400000,981.4,1
500000,980.7,1
600000,978.3,1
700000,984.5,1
800000,981.2,1
900000,977.5,1
1000000,980.3,1
1100000,984.3,1
1200000,988.6,1
1300000,978.6,1
1400000,985.0,1
1500000,978.7,1
1600000,980.5,1
1700000,977.1,1
1800000,983.3,1
1900000,980.2,1
2000000,980.7,1
2100000,949.3,1
2200000,167.4,1
2300000,588.1,1
2400000,817.7,1
2500000,48.7,1
2600000,226.8,1
2700000,969.4,1
2800000,43.0,1
2900000,747.7,1
3000000,66.3,1
3100000,244.2,1
3200000,32.5,1
3300000,98.0,1
3400000,425.7,1
3500000,50.3,1
3600000,649.7,1
3700000,644.7,1
3800000,219.8,1
3900000,70.0,1
4000000,174.6,1
