step,reward,seed
0,5.4,2
100000,8.0,2
200000,45.4,2
300000,48.2,2
400000,76.9,2
500000,51.8,2
600000,169.5,2
700000,201.0,2
800000,234.5,2
900000,227.1,2
1000000,262.0,2
1100000,287.1,2
1200000,187.4,2
1300000,249.7,2
1400000,207.6,2
1500000,227.5,2
1600000,196.3,2
1700000,333.6,2
1800000,242.2,2
1900000,191.4,2
2000000,224.5,2
0,1.8,3
100000,19.4,3
200000,14.3,3
300000,77.4,3
400000,68.3,3
500000,63.5,3
600000,157.1,3
700000,117.8,3
800000,222.6,3
900000,157.6,3
1000000,200.0,3
1100000,188.7,3
1200000,289.1,3
1300000,183.8,3
1400000,306.6,3
1500000,279.7,3
1600000,299.8,3
1700000,246.1,3
1800000,267.2,3
1900000,317.8,3
2000000,275.2,3
0,7.2,1
100000,12.0,1
200000,10.0,1
300000,31.7,1
400000,150.7,1
500000,42.4,1
600000,233.0,1
700000,185.9,1
800000,255.4,1
900000,187.3,1
1000000,261.9,1
1100000,182.5,1
1200000,303.6,1
1300000,294.6,1
1400000,309.0,1
1500000,242.6,1
1600000,244.4,1
1700000,320.6,1
1800000,237.9,1
1900000,293.3,1
2000000,341.8,1
