step,reward,seed
0,0.0,3
100000,0.0,3
200000,0.0,3
300000,0.0,3
400000,0.0,3
500000,0.0,3
600000,27.4,3
700000,39.3,3
800000,114.3,3
900000,265.4,3
1000000,825.2,3
1100000,651.6,3
1200000,828.4,3
1300000,831.0,3
1400000,386.0,3
1500000,826.6,3
1600000,818.3,3
1700000,818.5,3
1800000,818.6,3
1900000,815.6,3
2000000,823.0,3
0,0.0,1
100000,427.5,1
200000,717.2,1
300000,766.6,1
400000,793.1,1
500000,817.7,1
600000,811.4,1
700000,197.9,1
800000,806.6,1
900000,800.8,1
1000000,811.2,1
1100000,718.4,1
1200000,812.7,1
1300000,814.4,1
1400000,808.4,1
1500000,817.6,1
1600000,807.6,1
1700000,533.5,1
1800000,816.9,1
1900000,812.1,1
2000000,814.5,1
0,0.0,2
100000,0.0,2
200000,0.0,2
300000,0.0,2
400000,0.0,2
500000,0.0,2
600000,38.0,2
700000,33.8,2
800000,60.6,2
900000,301.6,2
1000000,733.6,2
1100000,753.9,2
1200000,761.0,2
1300000,761.2,2
1400000,767.7,2
1500000,774.4,2
1600000,772.6,2
1700000,772.2,2
1800000,712.0,2
1900000,777.0,2
2000000,773.4,2
