step,reward,seed
0,4.7,2
100000,242.7,2
200000,307.4,2
300000,337.0,2
400000,354.8,2
500000,407.4,2
600000,437.6,2
700000,439.7,2
800000,441.1,2
900000,443.6,2
1000000,452.8,2
1100000,447.0,2
1200000,458.7,2
1300000,437.0,2
1400000,424.4,2
1500000,438.0,2
1600000,437.7,2
1700000,440.8,2
1800000,430.8,2
1900000,435.8,2
2000000,460.4,2
0,7.3,3
100000,315.9,3
200000,384.1,3
300000,460.1,3
400000,480.9,3
500000,481.5,3
600000,501.0,3
700000,481.6,3
800000,533.5,3
900000,377.8,3
1000000,589.5,3
1100000,535.3,3
1200000,590.4,3
1300000,521.7,3
1400000,574.0,3
1500000,607.5,3
1600000,539.5,3
1700000,541.5,3
1800000,578.9,3
1900000,614.2,3
2000000,566.5,3
0,4.2,1
100000,300.5,1
200000,338.3,1
300000,510.2,1
400000,494.1,1
500000,475.9,1
600000,558.0,1
700000,611.4,1
800000,591.9,1
900000,584.6,1
1000000,569.7,1
1100000,596.0,1
1200000,642.5,1
1300000,608.1,1
1400000,610.3,1
1500000,603.1,1
1600000,631.0,1
1700000,607.1,1
1800000,600.1,1
1900000,608.0,1
2000000,637.4,1
