step,reward,seed
0,0.0,1
100000,978.6,1
200000,981.7,1
300000,984.2,1
400000,985.5,1
500000,980.1,1
600000,978.1,1
700000,985.9,1
800000,987.8,1
900000,988.4,1
1000000,988.0,1
1100000,988.5,1
1200000,988.8,1
1300000,986.6,1
1400000,989.0,1
1500000,989.5,1
1600000,987.3,1
1700000,989.8,1
1800000,987.2,1
1900000,986.0,1
2000000,985.9,1
0,0.0,3
100000,986.6,3
200000,950.1,3
300000,985.6,3
400000,989.7,3
500000,984.8,3
600000,984.4,3
700000,986.4,3
800000,988.0,3
900000,989.4,3
1000000,984.6,3
1100000,990.9,3
1200000,989.3,3
1300000,988.1,3
1400000,989.6,3
1500000,988.4,3
1600000,988.3,3
1700000,990.5,3
1800000,987.6,3
1900000,988.8,3
2000000,991.3,3
0,0.0,2
100000,977.1,2
200000,980.0,2
300000,983.3,2
400000,987.2,2
500000,983.9,2
600000,985.4,2
700000,986.7,2
800000,987.1,2
900000,992.1,2
1000000,982.2,2
1100000,988.9,2
1200000,988.6,2
1300000,986.7,2
1400000,985.5,2
1500000,991.2,2
1600000,986.5,2
1700000,982.2,2
1800000,985.9,2
1900000,987.8,2
2000000,989.6,2
