step,reward,seed
0,100.0,1
100000,139.0,1
200000,197.7,1
300000,494.0,1
400000,497.0,1
500000,489.0,1
600000,480.7,1
700000,754.9,1
800000,674.0,1
900000,774.7,1
1000000,671.1,1
1100000,868.8,1
1200000,973.5,1
1300000,775.8,1
1400000,791.6,1
1500000,978.7,1
1600000,985.4,1
1700000,876.6,1
1800000,788.8,1
1900000,964.0,1
2000000,971.9,1
0,200.7,2
100000,282.0,2
200000,296.5,2
300000,576.2,2
400000,590.9,2
500000,686.5,2
600000,766.5,2
700000,869.8,2
800000,673.7,2
900000,789.2,2
1000000,884.5,2
1100000,874.1,2
1200000,772.6,2
1300000,883.8,2
1400000,790.0,2
1500000,734.5,2
1600000,979.5,2
1700000,890.3,2
1800000,982.0,2
1900000,889.6,2
2000000,978.4,2
0,202.0,3
100000,531.5,3
200000,197.8,3
300000,483.2,3
400000,517.8,3
500000,567.1,3
600000,952.6,3
700000,797.0,3
800000,846.6,3
900000,976.7,3
1000000,906.8,3
1100000,887.2,3
1200000,869.6,3
1300000,982.3,3
1400000,978.0,3
1500000,890.4,3
1600000,872.8,3
1700000,967.2,3
1800000,985.0,3
1900000,978.0,3
2000000,883.7,3
