step,reward,seed
0,97.3,2
100000,294.7,2
200000,283.4,2
300000,671.2,2
400000,490.5,2
500000,779.9,2
600000,738.8,2
700000,877.3,2
800000,832.3,2
900000,782.9,2
1000000,950.6,2
1100000,770.4,2
1200000,872.1,2
1300000,867.4,2
1400000,936.5,2
1500000,972.3,2
1600000,973.7,2
1700000,970.8,2
1800000,973.8,2
1900000,982.1,2
2000000,838.8,2
0,100.0,1
100000,94.1,1
200000,279.8,1
300000,675.9,1
400000,677.1,1
500000,306.3,1
600000,863.3,1
700000,655.8,1
800000,869.2,1
900000,931.1,1
1000000,879.8,1
1100000,718.7,1
1200000,974.5,1
1300000,971.0,1
1400000,880.1,1
1500000,957.1,1
1600000,980.0,1
1700000,890.6,1
1800000,980.1,1
1900000,973.6,1
2000000,838.0,1
0,6.8,3
100000,283.2,3
200000,425.2,3
300000,341.6,3
400000,400.5,3
500000,579.0,3
600000,672.6,3
700000,981.3,3
800000,863.1,3
900000,978.4,3
1000000,766.4,3
1100000,885.6,3
1200000,932.4,3
1300000,958.0,3
1400000,974.8,3
1500000,981.8,3
1600000,850.4,3
1700000,870.2,3
1800000,685.8,3
1900000,772.5,3
2000000,881.0,3
