step,reward,seed
0,105.7,1
100000,70.7,1
200000,142.9,1
300000,241.9,1
400000,107.7,1
500000,213.4,1
600000,233.5,1
700000,268.9,1
800000,250.0,1
900000,174.2,1
1000000,252.5,1
1100000,228.3,1
1200000,210.5,1
1300000,269.8,1
1400000,231.1,1
1500000,331.5,1
1600000,245.0,1
1700000,212.8,1
1800000,170.6,1
1900000,222.9,1
2000000,257.9,1
0,203.1,3
100000,95.6,3
200000,111.4,3
300000,76.5,3
400000,223.3,3
500000,258.3,3
600000,268.3,3
700000,337.5,3
800000,398.8,3
900000,416.7,3
1000000,378.6,3
1100000,422.1,3
1200000,421.3,3
1300000,452.0,3
1400000,421.9,3
1500000,438.8,3
1600000,438.1,3
1700000,451.9,3
1800000,400.5,3
1900000,439.0,3
2000000,441.8,3
0,251.6,2
100000,29.5,2
200000,32.1,2
300000,93.4,2
400000,183.3,2
500000,145.8,2
600000,135.3,2
700000,203.7,2
800000,153.4,2
900000,164.2,2
1000000,218.3,2
1100000,227.4,2
1200000,247.1,2
1300000,236.6,2
1400000,311.3,2
1500000,213.8,2
1600000,304.9,2
1700000,296.0,2
1800000,367.5,2
1900000,352.6,2
2000000,411.0,2
