step,reward,seed
0,103.7,1
100000,27.7,1
200000,83.4,1
300000,171.9,1
400000,195.1,1
500000,203.9,1
600000,272.6,1
700000,242.0,1
800000,390.5,1
900000,443.8,1
1000000,460.9,1
1100000,457.5,1
1200000,481.9,1
1300000,504.1,1
1400000,472.2,1
1500000,519.5,1
1600000,576.8,1
1700000,597.6,1
1800000,645.3,1
1900000,719.1,1
2000000,594.6,1
0,251.8,2
100000,117.1,2
200000,30.4,2
300000,53.5,2
400000,128.2,2
500000,106.1,2
600000,87.7,2
700000,167.9,2
800000,230.5,2
900000,253.4,2
1000000,311.3,2
1100000,360.6,2
1200000,266.0,2
1300000,352.7,2
1400000,383.0,2
1500000,334.5,2
1600000,506.1,2
1700000,542.6,2
1800000,664.7,2
1900000,702.2,2
2000000,666.7,2
0,203.2,3
100000,30.8,3
200000,90.7,3
300000,52.6,3
400000,94.2,3
500000,148.1,3
600000,127.7,3
700000,133.2,3
800000,177.8,3
900000,236.7,3
1000000,198.4,3
1100000,194.0,3
1200000,230.3,3
1300000,262.9,3
1400000,304.0,3
1500000,302.3,3
1600000,309.9,3
1700000,330.1,3
1800000,300.5,3
1900000,316.0,3
2000000,304.2,3
