step,reward,seed
0,156.2,3
100000,388.8,3
200000,738.1,3
300000,789.2,3
400000,882.1,3
500000,942.5,3
600000,948.7,3
700000,975.9,3
800000,944.4,3
900000,880.0,3
1000000,985.6,3
1100000,979.0,3
1200000,986.1,3
1300000,882.6,3
1400000,984.8,3
1500000,882.8,3
1600000,888.8,3
1700000,986.2,3
1800000,984.7,3
1900000,986.2,3
2000000,981.1,3
0,96.8,2
100000,397.2,2
200000,512.9,2
300000,794.4,2
400000,862.4,2
500000,850.0,2
600000,982.7,2
700000,870.0,2
800000,981.3,2
900000,985.4,2
1000000,982.5,2
1100000,883.4,2
1200000,982.5,2
1300000,988.1,2
1400000,984.3,2
1500000,984.6,2
1600000,983.3,2
1700000,987.7,2
1800000,982.1,2
1900000,978.9,2
2000000,982.0,2
0,71.9,1
100000,293.4,1
200000,668.9,1
300000,297.5,1
400000,685.9,1
500000,961.7,1
600000,957.9,1
700000,979.2,1
800000,982.7,1
900000,888.7,1
1000000,978.4,1
1100000,983.1,1
1200000,986.9,1
1300000,972.7,1
1400000,988.4,1
1500000,977.7,1
1600000,969.8,1
1700000,985.0,1
1800000,990.5,1
1900000,979.4,1
2000000,980.4,1
