step,reward,seed
0,19.7,2
100000,98.2,2
200000,0.0,2
300000,348.7,2
400000,485.2,2
500000,695.6,2
600000,770.6,2
700000,773.7,2
800000,879.6,2
900000,884.2,2
1000000,972.0,2
1100000,973.5,2
1200000,878.2,2
1300000,949.9,2
1400000,804.4,2
1500000,873.6,2
1600000,977.3,2
1700000,890.2,2
1800000,881.5,2
1900000,972.2,2
2000000,978.7,2
0,10.5,1
100000,174.4,1
200000,197.3,1
300000,279.9,1
400000,466.7,1
500000,787.9,1
600000,967.9,1
700000,974.7,1
800000,726.9,1
900000,948.0,1
1000000,878.3,1
1100000,962.6,1
1200000,940.1,1
1300000,978.8,1
1400000,978.5,1
1500000,871.8,1
1600000,880.6,1
1700000,880.5,1
1800000,878.4,1
1900000,975.7,1
2000000,876.4,1
0,11.1,3
100000,118.3,3
200000,154.9,3
300000,295.1,3
400000,440.4,3
500000,685.5,3
600000,973.6,3
700000,771.5,3
800000,939.3,3
900000,874.8,3
1000000,878.4,3
1100000,975.7,3
1200000,977.4,3
1300000,968.2,3
1400000,978.1,3
1500000,972.8,3
1600000,978.2,3
1700000,809.3,3
1800000,978.2,3
1900000,974.4,3
2000000,950.0,3
