step,reward,seed
0,29.4,3
100000,168.8,3
200000,358.3,3
300000,577.9,3
400000,633.8,3
500000,653.2,3
600000,692.5,3
700000,680.7,3
800000,715.4,3
900000,685.7,3
1000000,707.0,3
1100000,699.1,3
1200000,728.2,3
1300000,710.7,3
1400000,706.5,3
1500000,715.3,3
1600000,517.0,3
1700000,434.7,3
1800000,640.9,3
1900000,576.2,3
2000000,701.0,3
0,21.2,1
100000,195.8,1
200000,346.2,1
300000,484.7,1
400000,639.3,1
500000,696.4,1
600000,685.4,1
700000,719.7,1
800000,714.2,1
900000,690.4,1
1000000,629.6,1
1100000,672.9,1
1200000,736.7,1
1300000,402.0,1
1400000,530.6,1
1500000,424.6,1
1600000,676.2,1
1700000,656.1,1
1800000,522.1,1
1900000,711.2,1
2000000,700.2,1
0,21.4,2
100000,217.8,2
200000,372.8,2
300000,581.2,2
400000,622.9,2
500000,680.3,2
600000,695.8,2
700000,692.3,2
800000,705.1,2
900000,702.5,2
1000000,679.1,2
1100000,721.5,2
1200000,738.3,2
1300000,736.8,2
1400000,740.1,2
1500000,737.2,2
1600000,725.2,2
1700000,744.5,2
1800000,735.6,2
1900000,675.8,2
2000000,295.9,2
