step,reward,seed
0,33.7,3
100000,495.4,3
200000,834.3,3
300000,914.9,3
400000,937.2,3
500000,947.3,3
600000,964.9,3
700000,955.8,3
800000,961.3,3
900000,950.3,3
1000000,941.5,3
1100000,953.2,3
1200000,954.3,3
1300000,924.9,3
1400000,964.0,3
1500000,960.7,3
1600000,957.0,3
1700000,965.0,3
1800000,971.3,3
1900000,973.2,3
2000000,940.1,3
0,24.0,2
100000,437.4,2
200000,890.0,2
300000,887.9,2
400000,940.7,2
500000,956.0,2
600000,950.9,2
700000,971.6,2
800000,931.0,2
900000,949.7,2
1000000,948.7,2
1100000,960.4,2
1200000,937.3,2
1300000,972.9,2
1400000,970.2,2
1500000,941.4,2
1600000,940.2,2
1700000,973.8,2
1800000,950.7,2
1900000,967.1,2
2000000,946.2,2
0,24.3,1
100000,458.3,1
200000,783.9,1
300000,928.2,1
400000,915.2,1
500000,943.7,1
600000,962.1,1
700000,949.2,1
800000,969.7,1
900000,955.7,1
1000000,928.7,1
1100000,959.1,1
1200000,968.8,1
1300000,939.9,1
1400000,945.4,1
1500000,956.8,1
1600000,939.3,1
1700000,955.9,1
1800000,963.2,1
1900000,969.7,1
2000000,961.2,1
