step,reward,seed
0,270.6,3
100000,998.4,3
200000,998.4,3
300000,998.4,3
400000,998.9,3
500000,986.6,3
600000,995.7,3
700000,999.3,3
800000,996.3,3
900000,992.5,3
1000000,996.8,3
1100000,971.0,3
1200000,996.8,3
1300000,997.7,3
1400000,993.5,3
1500000,996.6,3
1600000,998.7,3
1700000,999.0,3
1800000,997.0,3
1900000,995.8,3
2000000,998.0,3
2100000,999.4,3
2200000,999.0,3
2300000,999.0,3
2400000,999.3,3
2500000,998.4,3
2600000,987.0,3
2700000,998.5,3
2800000,990.5,3
2900000,992.4,3
3000000,996.6,3
3100000,998.5,3
3200000,998.6,3
3300000,997.8,3
3400000,997.8,3
3500000,999.1,3
3600000,999.1,3
3700000,979.9,3
3800000,999.2,3
3900000,994.5,3
4000000,996.0,3
0,313.1,2
100000,997.0,2
200000,989.4,2
300000,998.9,2
400000,943.0,2
500000,999.0,2
600000,997.1,2
700000,997.8,2
800000,988.6,2
900000,993.9,2
1000000,928.0,2
1100000,982.2,2
1200000,998.2,2
1300000,995.5,2
1400000,996.2,2
1500000,999.0,2
1600000,992.4,2
1700000,983.6,2
1800000,998.2,2
1900000,995.9,2
2000000,998.6,2
2100000,999.4,2
2200000,999.0,2
2300000,999.2,2
2400000,999.4,2
2500000,999.3,2
2600000,999.1,2
2700000,999.3,2
2800000,999.5,2
2900000,999.4,2
3000000,999.4,2
3100000,999.4,2
3200000,999.2,2
3300000,997.4,2
3400000,998.5,2
3500000,999.3,2
3600000,999.2,2
3700000,999.3,2
3800000,999.5,2
3900000,999.5,2
4000000,999.4,2
0,124.3,1
100000,997.9,1
200000,998.9,1
300000,999.1,1
400000,994.7,1
500000,996.2,1
600000,995.4,1
700000,997.6,1
800000,990.8,1
900000,998.2,1
1000000,999.3,1
1100000,997.0,1
1200000,998.6,1
1300000,999.5,1
1400000,999.2,1
1500000,999.4,1
1600000,997.1,1
1700000,991.8,1
1800000,992.8,1
1900000,996.8,1
2000000,999.3,1
2100000,999.0,1
2200000,999.4,1
2300000,999.3,1
2400000,998.4,1
2500000,996.7,1
2600000,998.9,1
2700000,999.4,1
2800000,998.6,1
2900000,999.2,1
3000000,999.3,1
3100000,999.4,1
3200000,999.4,1
3300000,999.4,1
3400000,999.4,1
3500000,999.5,1
3600000,999.3,1
3700000,999.6,1
3800000,999.6,1
3900000,999.6,1
4000000,999.6,1
