step,reward,seed
0,0.0,3
100000,1.0,3
200000,784.8,3
300000,835.9,3
400000,824.7,3
500000,844.6,3
600000,848.7,3
700000,840.2,3
800000,847.8,3
900000,848.7,3
1000000,849.8,3
1100000,849.6,3
1200000,848.0,3
1300000,849.4,3
1400000,849.2,3
1500000,848.8,3
1600000,845.7,3
1700000,848.8,3
1800000,837.2,3
1900000,848.9,3
2000000,849.9,3
2100000,849.7,3
2200000,850.0,3
2300000,849.7,3
2400000,848.3,3
2500000,850.1,3
2600000,850.0,3
2700000,850.0,3
2800000,259.5,3
2900000,850.1,3
3000000,850.0,3
3100000,849.3,3
3200000,849.9,3
3300000,850.0,3
3400000,848.9,3
3500000,849.9,3
3600000,850.0,3
3700000,850.4,3
3800000,849.8,3
3900000,850.1,3
0,0.0,2
100000,0.0,2
200000,21.6,2
300000,707.7,2
400000,843.3,2
500000,844.9,2
600000,844.6,2
700000,846.3,2
800000,845.7,2
900000,847.9,2
1000000,828.3,2
1100000,847.6,2
1200000,840.2,2
1300000,848.2,2
1400000,849.0,2
1500000,847.9,2
1600000,848.6,2
1700000,848.8,2
1800000,848.9,2
1900000,849.6,2
2000000,849.4,2
2100000,848.9,2
2200000,850.1,2
2300000,849.5,2
2400000,850.2,2
2500000,850.2,2
2600000,850.7,2
2700000,850.7,2
2800000,850.7,2
2900000,848.2,2
3000000,847.3,2
3100000,849.0,2
3200000,848.5,2
3300000,850.0,2
3400000,781.4,2
3500000,849.2,2
3600000,849.9,2
3700000,850.1,2
3800000,850.1,2
3900000,849.6,2
4000000,850.3,2
0,0.0,1
100000,0.0,1
200000,118.3,1
300000,842.3,1
400000,847.0,1
500000,844.8,1
600000,848.1,1
700000,847.1,1
800000,849.1,1
900000,847.2,1
1000000,846.7,1
1100000,847.5,1
1200000,848.0,1
1300000,849.3,1
1400000,842.6,1
1500000,154.2,1
1600000,849.1,1
1700000,848.3,1
1800000,849.3,1
1900000,849.7,1
2000000,849.1,1
2100000,411.1,1
2200000,849.2,1
2300000,849.6,1
2400000,850.1,1
2500000,849.8,1
2600000,848.1,1
2700000,849.5,1
2800000,848.7,1
2900000,850.0,1
3000000,850.1,1
3100000,849.5,1
3200000,850.4,1
3300000,850.2,1
3400000,850.4,1
3500000,848.8,1
3600000,849.7,1
3700000,849.9,1
3800000,849.6,1
3900000,850.2,1
4000000,850.5,1
