step,reward,seed
0,7.4,2
100000,408.8,2
200000,549.1,2
300000,576.2,2
400000,615.8,2
500000,634.7,2
600000,675.4,2
700000,708.1,2
800000,779.9,2
900000,791.7,2
1000000,813.6,2
1100000,825.0,2
1200000,812.9,2
1300000,817.7,2
1400000,819.9,2
1500000,825.8,2
1600000,822.9,2
1700000,827.3,2
1800000,833.1,2
1900000,832.1,2
2000000,833.7,2
2100000,824.8,2
2200000,832.6,2
2300000,804.6,2
2400000,719.1,2
2500000,644.0,2
2600000,761.5,2
2700000,779.7,2
2800000,829.8,2
2900000,829.5,2
3000000,827.8,2
3100000,828.2,2
3200000,803.8,2
3300000,832.8,2
3400000,761.7,2
3500000,754.1,2
3600000,830.9,2
3700000,731.2,2
3800000,834.4,2
3900000,834.4,2
4000000,834.5,2
0,6.1,3
100000,489.7,3
200000,552.5,3
300000,613.4,3
400000,720.9,3
500000,717.1,3
600000,775.5,3
700000,819.1,3
800000,765.4,3
900000,741.5,3
1000000,807.2,3
1100000,824.1,3
1200000,747.2,3
1300000,827.1,3
1400000,831.0,3
1500000,827.2,3
1600000,831.4,3
1700000,837.0,3
1800000,833.4,3
1900000,834.2,3
2000000,835.7,3
2100000,834.2,3
2200000,771.0,3
2300000,745.5,3
2400000,779.3,3
2500000,743.4,3
2600000,834.0,3
2700000,835.4,3
2800000,838.1,3
2900000,806.6,3
3000000,836.0,3
3100000,720.8,3
3200000,837.1,3
3300000,837.2,3
3400000,823.1,3
3500000,780.0,3
3600000,842.3,3
3700000,791.2,3
3800000,837.5,3
3900000,838.8,3
4000000,842.2,3
0,6.0,1
100000,487.4,1
200000,599.5,1
300000,706.0,1
400000,739.2,1
500000,780.7,1
600000,800.6,1
700000,820.1,1
800000,817.1,1
900000,822.9,1
1000000,780.2,1
1100000,831.8,1
1200000,822.0,1
1300000,823.3,1
1400000,748.2,1
1500000,803.4,1
1600000,826.9,1
1700000,721.3,1
1800000,835.4,1
1900000,668.7,1
2000000,829.6,1
2100000,812.8,1
2200000,728.9,1
2300000,733.1,1
2400000,788.2,1
2500000,784.5,1
2600000,813.0,1
2700000,781.1,1
2800000,770.9,1
2900000,812.2,1
3000000,845.9,1
3100000,854.2,1
3200000,854.5,1
3300000,862.0,1
3400000,861.6,1
3500000,861.2,1
3600000,862.3,1
3700000,865.2,1
3800000,863.5,1
3900000,857.3,1
4000000,860.5,1
