step,reward,seed
0,11.7,1
100000,517.3,1
200000,589.1,1
300000,617.6,1
400000,648.2,1
500000,631.8,1
600000,636.5,1
700000,665.2,1
800000,647.2,1
900000,657.5,1
1000000,649.2,1
1100000,670.9,1
1200000,661.6,1
1300000,643.9,1
1400000,677.1,1
1500000,625.0,1
1600000,680.6,1
1700000,684.5,1
1800000,689.4,1
1900000,684.2,1
2000000,656.5,1
2100000,672.5,1
2200000,677.6,1
2300000,666.8,1
2400000,682.3,1
2500000,687.4,1
2600000,684.8,1
2700000,669.5,1
2800000,683.5,1
2900000,699.3,1
3000000,692.4,1
3100000,701.1,1
3200000,690.3,1
3300000,708.6,1
3400000,715.5,1
3500000,677.8,1
3600000,717.1,1
3700000,716.4,1
3800000,710.0,1
3900000,713.3,1
4000000,688.8,1
0,8.9,2
100000,475.7,2
200000,608.2,2
300000,680.6,2
400000,730.0,2
500000,732.0,2
600000,751.4,2
700000,748.9,2
800000,772.8,2
900000,773.9,2
1000000,787.3,2
1100000,788.0,2
1200000,802.6,2
1300000,795.5,2
1400000,820.1,2
1500000,823.7,2
1600000,786.4,2
1700000,835.4,2
1800000,832.1,2
1900000,846.9,2
2000000,826.8,2
2100000,824.7,2
2200000,852.9,2
2300000,840.2,2
2400000,722.3,2
2500000,856.6,2
2600000,868.1,2
2700000,785.4,2
2800000,859.1,2
2900000,832.5,2
3000000,837.1,2
3100000,870.3,2
3200000,860.0,2
3300000,862.9,2
3400000,871.6,2
3500000,879.5,2
3600000,871.4,2
3700000,860.3,2
3800000,873.8,2
3900000,879.2,2
4000000,875.6,2
0,9.6,3
100000,568.0,3
200000,585.0,3
300000,651.2,3
400000,670.8,3
500000,676.2,3
600000,666.2,3
700000,676.5,3
800000,672.0,3
900000,654.2,3
1000000,681.1,3
1100000,679.4,3
1200000,684.5,3
1300000,684.3,3
1400000,656.6,3
1500000,687.8,3
1600000,685.9,3
1700000,691.2,3
1800000,688.8,3
1900000,690.4,3
2000000,688.4,3
2100000,688.7,3
2200000,694.2,3
2300000,688.0,3
2400000,692.1,3
2500000,696.4,3
2600000,697.2,3
2700000,693.7,3
2800000,689.8,3
2900000,700.4,3
3000000,694.0,3
3100000,694.1,3
3200000,695.0,3
3300000,687.1,3
3400000,696.4,3
3500000,700.6,3
3600000,698.8,3
3700000,700.4,3
3800000,690.7,3
3900000,699.9,3
4000000,696.3,3
