step,reward,seed
0,7.5,2
100000,318.6,2
200000,491.8,2
300000,595.9,2
400000,539.8,2
500000,647.9,2
600000,681.0,2
700000,674.8,2
800000,696.5,2
900000,696.3,2
1000000,685.5,2
1100000,658.2,2
1200000,672.1,2
1300000,661.2,2
1400000,671.9,2
1500000,663.4,2
1600000,685.6,2
1700000,666.0,2
1800000,665.0,2
1900000,689.3,2
2000000,681.9,2
2100000,649.4,2
2200000,671.0,2
2300000,677.9,2
2400000,461.3,2
2500000,653.0,2
2600000,684.1,2
2700000,689.7,2
2800000,630.6,2
2900000,657.5,2
3000000,673.7,2
3100000,698.7,2
3200000,704.1,2
3300000,702.0,2
3400000,697.2,2
3500000,692.5,2
3600000,706.0,2
3700000,689.0,2
3800000,703.3,2
3900000,725.7,2
4000000,702.6,2
0,6.2,1
100000,306.7,1
200000,509.0,1
300000,607.6,1
400000,637.9,1
500000,689.8,1
600000,690.6,1
700000,701.8,1
800000,692.9,1
900000,693.5,1
1000000,693.5,1
1100000,673.2,1
1200000,664.4,1
1300000,701.0,1
1400000,676.8,1
1500000,637.2,1
1600000,683.5,1
1700000,699.8,1
1800000,684.7,1
1900000,664.6,1
2000000,688.1,1
2100000,661.3,1
2200000,712.0,1
2300000,676.5,1
2400000,665.7,1
2500000,641.3,1
2600000,720.6,1
2700000,723.2,1
2800000,718.9,1
2900000,721.6,1
3000000,735.6,1
3100000,749.7,1
3200000,746.5,1
3300000,729.7,1
3400000,755.6,1
3500000,747.8,1
3600000,757.6,1
3700000,749.0,1
3800000,703.7,1
3900000,692.1,1
4000000,698.4,1
0,6.2,3
100000,307.1,3
200000,473.4,3
300000,592.0,3
400000,650.8,3
500000,661.2,3
600000,697.0,3
700000,682.2,3
800000,672.4,3
900000,674.0,3
1000000,651.4,3
1100000,671.4,3
1200000,667.0,3
1300000,665.7,3
1400000,657.8,3
1500000,475.8,3
1600000,664.2,3
1700000,652.7,3
1800000,652.0,3
1900000,654.7,3
2000000,656.1,3
2100000,640.9,3
2200000,660.7,3
2300000,647.9,3
2400000,578.2,3
2500000,611.5,3
2600000,657.2,3
2700000,658.0,3
2800000,668.1,3
2900000,678.4,3
3000000,677.8,3
3100000,648.5,3
3200000,674.6,3
3300000,669.6,3
3400000,599.7,3
3500000,663.6,3
3600000,676.2,3
3700000,661.1,3
3800000,680.0,3
3900000,655.7,3
4000000,680.5,3
