step,reward,seed
0,11.6,2
100000,613.8,2
200000,710.5,2
300000,764.8,2
400000,822.3,2
500000,822.1,2
600000,878.6,2
700000,898.1,2
800000,906.2,2
900000,909.0,2
1000000,896.9,2
1100000,911.2,2
1200000,904.9,2
1300000,827.8,2
1400000,906.5,2
1500000,916.8,2
1600000,914.3,2
1700000,914.6,2
1800000,913.4,2
1900000,914.6,2
2000000,918.3,2
2100000,917.5,2
2200000,916.4,2
2300000,919.7,2
2400000,913.8,2
2500000,917.3,2
2600000,913.0,2
2700000,912.6,2
2800000,917.0,2
2900000,918.5,2
3000000,917.7,2
3100000,917.9,2
3200000,847.8,2
3300000,920.1,2
3400000,917.5,2
3500000,919.7,2
3600000,920.1,2
3700000,917.4,2
3800000,921.1,2
3900000,920.8,2
4000000,922.9,2
0,2.4,1
100000,454.4,1
200000,522.1,1
300000,457.8,1
400000,655.3,1
500000,593.8,1
600000,659.6,1
700000,667.6,1
800000,673.4,1
900000,708.3,1
1000000,725.4,1
1100000,720.4,1
1200000,721.9,1
1300000,731.6,1
1400000,692.6,1
1500000,677.1,1
1600000,727.0,1
1700000,675.0,1
1800000,698.2,1
1900000,694.6,1
2000000,747.3,1
2100000,743.1,1
2200000,751.7,1
2300000,757.5,1
2400000,756.4,1
2500000,720.6,1
2600000,763.9,1
2700000,771.1,1
2800000,778.5,1
2900000,781.3,1
3000000,784.2,1
3100000,777.9,1
3200000,793.0,1
3300000,745.2,1
3400000,762.1,1
3500000,774.2,1
3600000,801.8,1
3700000,816.7,1
3800000,824.8,1
3900000,837.2,1
4000000,848.3,1
0,3.9,3
100000,489.2,3
200000,610.6,3
300000,550.0,3
400000,795.7,3
500000,856.9,3
600000,820.2,3
700000,855.5,3
800000,896.5,3
900000,889.2,3
1000000,910.8,3
1100000,902.7,3
1200000,912.1,3
1300000,815.1,3
1400000,913.2,3
1500000,915.9,3
1600000,911.0,3
1700000,917.2,3
1800000,915.6,3
1900000,916.4,3
2000000,914.3,3
2100000,917.7,3
2200000,916.3,3
2300000,920.0,3
2400000,913.8,3
2500000,916.9,3
2600000,921.3,3
2700000,920.3,3
2800000,917.4,3
2900000,914.9,3
3000000,919.0,3
3100000,913.2,3
3200000,921.3,3
3300000,922.0,3
3400000,920.6,3
3500000,921.7,3
3600000,921.6,3
3700000,922.2,3
3800000,911.8,3
3900000,919.6,3
4000000,916.3,3
