step,reward,seed
0,4.5,2
100000,7.6,2
200000,86.8,2
300000,143.8,2
400000,161.9,2
500000,142.0,2
600000,133.2,2
700000,153.9,2
800000,159.3,2
900000,172.7,2
1000000,234.7,2
1100000,226.3,2
1200000,287.8,2
1300000,304.8,2
1400000,384.0,2
1500000,380.6,2
1600000,345.5,2
1700000,411.1,2
1800000,421.8,2
1900000,468.7,2
2000000,503.2,2
2100000,503.2,2
2200000,518.9,2
2300000,510.9,2
2400000,531.4,2
2500000,537.3,2
2600000,551.1,2
2700000,562.1,2
2800000,572.9,2
2900000,586.8,2
3000000,600.0,2
3100000,560.3,2
3200000,602.9,2
3300000,611.5,2
3400000,626.3,2
3500000,629.3,2
3600000,634.0,2
3700000,648.8,2
3800000,623.8,2
3900000,643.9,2
4000000,655.6,2
4100000,669.7,2
4200000,666.4,2
4300000,668.2,2
4400000,670.7,2
4500000,683.0,2
4600000,700.3,2
4700000,691.5,2
4800000,691.1,2
4900000,702.4,2
5000000,701.8,2
5100000,679.9,2
5200000,709.2,2
5300000,715.6,2
5400000,733.2,2
5500000,725.2,2
5600000,725.8,2
5700000,721.6,2
5800000,747.1,2
5900000,750.1,2
6000000,743.6,2
6100000,701.2,2
6200000,743.6,2
6300000,768.2,2
6400000,756.2,2
6500000,783.1,2
6600000,806.5,2
6700000,740.4,2
6800000,781.7,2
6900000,806.4,2
7000000,802.4,2
7100000,797.2,2
7200000,799.0,2
7300000,817.3,2
7400000,821.9,2
7500000,809.4,2
7600000,847.8,2
7700000,861.6,2
7800000,825.3,2
7900000,853.4,2
8000000,857.5,2
8100000,855.0,2
8200000,868.9,2
8300000,881.1,2
8400000,832.6,2
8500000,807.9,2
8600000,832.1,2
8700000,843.4,2
8800000,836.3,2
8900000,837.4,2
9000000,867.5,2
9100000,860.2,2
9200000,876.6,2
9300000,849.5,2
9400000,878.5,2
9500000,874.0,2
9600000,860.9,2
9700000,901.8,2
9800000,896.1,2
9900000,866.1,2
10000000,873.3,2
10100000,882.8,2
10200000,872.6,2
10300000,896.2,2
10400000,861.1,2
10500000,895.9,2
10600000,878.6,2
10700000,891.2,2
10800000,885.4,2
10900000,890.4,2
11000000,878.3,2
11100000,895.6,2
11200000,882.7,2
11300000,891.3,2
11400000,837.0,2
11500000,870.3,2
11600000,889.4,2
11700000,890.4,2
11800000,872.1,2
11900000,883.8,2
12000000,878.4,2
12100000,882.4,2
12200000,888.6,2
12300000,900.0,2
12400000,891.4,2
12500000,905.6,2
12600000,882.9,2
12700000,888.8,2
12800000,871.5,2
12900000,905.9,2
13000000,894.2,2
13100000,897.6,2
13200000,900.3,2
13300000,893.5,2
13400000,889.5,2
13500000,889.3,2
13600000,898.5,2
13700000,872.8,2
13800000,894.2,2
13900000,895.2,2
14000000,881.1,2
0,6.5,1
