step,reward,seed
0,19.4,2
100000,48.3,2
200000,543.1,2
300000,701.5,2
400000,648.1,2
500000,673.6,2
600000,640.9,2
700000,685.1,2
800000,760.3,2
900000,811.2,2
1000000,830.8,2
1100000,834.7,2
1200000,812.1,2
1300000,829.8,2
1400000,797.2,2
1500000,862.6,2
1600000,890.4,2
1700000,894.6,2
1800000,925.7,2
1900000,909.3,2
2000000,899.0,2
2100000,849.5,2
2200000,962.4,2
2300000,971.7,2
2400000,973.5,2
2500000,967.8,2
2600000,959.4,2
2700000,963.5,2
2800000,936.0,2
2900000,974.4,2
3000000,954.8,2
3100000,961.9,2
3200000,975.8,2
3300000,869.3,2
3400000,939.0,2
3500000,897.8,2
3600000,972.4,2
3700000,978.7,2
3800000,972.6,2
3900000,969.4,2
4000000,965.3,2
4100000,959.5,2
4200000,936.4,2
4300000,971.4,2
4400000,935.1,2
4500000,975.4,2
4600000,976.4,2
4700000,981.5,2
4800000,970.8,2
4900000,968.5,2
5000000,977.8,2
5100000,972.8,2
5200000,968.5,2
5300000,959.6,2
5400000,972.9,2
5500000,981.2,2
5600000,946.1,2
5700000,980.7,2
5800000,956.0,2
5900000,966.5,2
6000000,967.9,2
6100000,978.0,2
6200000,979.3,2
6300000,973.1,2
6400000,979.6,2
6500000,967.4,2
6600000,981.8,2
6700000,975.6,2
6800000,967.9,2
6900000,964.0,2
7000000,974.0,2
7100000,981.5,2
7200000,976.7,2
7300000,984.9,2
7400000,961.4,2
7500000,969.0,2
7600000,979.5,2
7700000,971.1,2
7800000,958.1,2
7900000,977.1,2
8000000,965.5,2
8100000,984.5,2
8200000,736.2,2
8300000,965.3,2
8400000,981.3,2
8500000,983.4,2
8600000,983.6,2
8700000,976.0,2
8800000,981.0,2
8900000,965.3,2
9000000,972.5,2
9100000,980.6,2
9200000,942.9,2
9300000,932.5,2
9400000,972.7,2
9500000,979.1,2
9600000,947.6,2
9700000,960.6,2
9800000,982.0,2
9900000,933.9,2
10000000,897.3,2
10100000,912.8,2
10200000,940.1,2
10300000,980.0,2
10400000,945.2,2
10500000,976.0,2
10600000,974.2,2
10700000,980.6,2
10800000,985.3,2
10900000,983.5,2
11000000,982.8,2
11100000,974.9,2
11200000,952.8,2
11300000,965.2,2
11400000,980.5,2
11500000,966.1,2
11600000,954.6,2
11700000,965.1,2
11800000,959.9,2
11900000,979.4,2
12000000,920.8,2
12100000,965.9,2
12200000,974.6,2
12300000,972.2,2
12400000,968.1,2
12500000,974.3,2
12600000,968.8,2
12700000,976.7,2
12800000,978.7,2
12900000,982.1,2
13000000,982.6,2
13100000,955.4,2
13200000,954.6,2
13300000,958.6,2
13400000,928.9,2
13500000,972.6,2
