step,reward,seed
0,6.2,2
100000,5.0,2
200000,89.2,2
300000,205.5,2
400000,237.0,2
500000,66.2,2
600000,283.3,2
700000,319.7,2
800000,400.3,2
900000,342.8,2
1000000,481.2,2
1100000,552.0,2
1200000,567.0,2
1300000,698.5,2
1400000,730.2,2
1500000,712.6,2
1600000,858.0,2
1700000,886.4,2
1800000,893.2,2
1900000,889.4,2
2000000,906.8,2
2100000,905.4,2
2200000,876.7,2
2300000,380.4,2
2400000,914.4,2
2500000,915.5,2
2600000,910.4,2
2700000,901.0,2
2800000,896.8,2
2900000,917.4,2
3000000,909.6,2
3100000,917.9,2
3200000,741.7,2
3300000,926.8,2
3400000,912.5,2
3500000,924.6,2
3600000,899.1,2
3700000,908.7,2
3800000,923.2,2
3900000,933.3,2
4000000,949.3,2
4100000,902.4,2
4200000,940.7,2
4300000,935.4,2
4400000,938.5,2
4500000,932.6,2
4600000,931.3,2
4700000,904.1,2
4800000,926.7,2
4900000,931.0,2
5000000,942.1,2
5100000,941.5,2
5200000,935.4,2
5300000,940.0,2
5400000,951.6,2
5500000,940.0,2
5600000,939.7,2
5700000,930.3,2
5800000,925.7,2
5900000,946.4,2
6000000,954.2,2
6100000,936.6,2
6200000,919.9,2
6300000,956.2,2
6400000,932.2,2
6500000,945.2,2
6600000,953.3,2
6700000,940.0,2
6800000,930.0,2
6900000,946.0,2
7000000,947.6,2
7100000,954.0,2
7200000,956.9,2
7300000,951.3,2
7400000,942.5,2
7500000,949.4,2
7600000,928.2,2
7700000,939.3,2
7800000,957.4,2
7900000,955.5,2
8000000,935.6,2
8100000,948.1,2
8200000,937.6,2
8300000,944.0,2
8400000,922.9,2
8500000,952.7,2
8600000,953.5,2
8700000,937.5,2
8800000,937.0,2
8900000,898.2,2
9000000,953.8,2
9100000,941.4,2
9200000,918.1,2
9300000,956.3,2
9400000,947.5,2
9500000,958.3,2
9600000,949.1,2
9700000,959.5,2
9800000,961.4,2
9900000,948.2,2
10000000,952.1,2
10100000,957.1,2
10200000,960.9,2
10300000,945.0,2
10400000,965.7,2
10500000,952.5,2
10600000,948.6,2
10700000,967.1,2
10800000,955.0,2
10900000,955.2,2
11000000,961.3,2
11100000,927.4,2
11200000,958.4,2
11300000,952.8,2
11400000,950.7,2
11500000,950.9,2
11600000,957.5,2
11700000,934.0,2
11800000,969.7,2
11900000,953.5,2
12000000,936.9,2
12100000,956.4,2
12200000,952.2,2
12300000,952.5,2
12400000,959.4,2
12500000,969.5,2
12600000,944.9,2
12700000,962.5,2
12800000,962.3,2
12900000,957.5,2
13000000,962.9,2
13100000,954.2,2
13200000,946.5,2
13300000,955.7,2
13400000,962.0,2
13500000,965.3,2
13600000,962.2,2
13700000,951.1,2
13800000,960.5,2
13900000,946.2,2
14000000,923.5,2
0,7.9,1
100000,10.4,1
200000,97.2,1
300000,100.9,1
400000,180.2,1
500000,319.2,1
600000,330.5,1
700000,385.9,1
800000,55.9,1
900000,364.9,1
1000000,512.7,1
1100000,618.9,1
1200000,597.0,1
1300000,577.6,1
1400000,616.0,1
1500000,775.3,1
1600000,712.2,1
1700000,800.4,1
1800000,861.5,1
1900000,860.2,1
2000000,854.1,1
2100000,844.9,1
2200000,857.0,1
2300000,886.9,1
2400000,871.7,1
2500000,883.1,1
2600000,857.4,1
2700000,901.9,1
2800000,903.4,1
2900000,919.1,1
