step,reward,seed
0,0.0,3
100000,386.5,3
200000,775.1,3
300000,378.8,3
400000,560.8,3
500000,871.4,3
600000,833.3,3
700000,882.6,3
800000,971.9,3
900000,970.9,3
1000000,979.0,3
1100000,966.7,3
1200000,974.2,3
1300000,982.5,3
1400000,977.9,3
1500000,981.5,3
1600000,971.0,3
1700000,978.5,3
1800000,968.7,3
1900000,978.4,3
2000000,979.1,3
2100000,982.5,3
2200000,887.0,3
2300000,976.3,3
2400000,984.3,3
2500000,968.1,3
2600000,976.5,3
2700000,985.5,3
2800000,984.8,3
2900000,960.4,3
3000000,976.5,3
3100000,884.7,3
3200000,983.9,3
3300000,973.1,3
3400000,989.6,3
3500000,983.1,3
3600000,983.3,3
3700000,984.5,3
3800000,887.5,3
3900000,978.3,3
4000000,979.8,3
0,124.3,2
100000,580.4,2
200000,742.9,2
300000,775.5,2
400000,963.0,2
500000,882.1,2
600000,790.5,2
700000,863.3,2
800000,874.7,2
900000,966.0,2
1000000,959.5,2
1100000,867.4,2
1200000,971.7,2
1300000,890.1,2
1400000,882.1,2
1500000,973.5,2
1600000,978.5,2
1700000,982.5,2
1800000,977.5,2
1900000,888.3,2
2000000,791.3,2
2100000,987.0,2
2200000,976.6,2
2300000,988.3,2
2400000,980.4,2
2500000,977.5,2
2600000,983.8,2
2700000,883.3,2
2800000,954.4,2
2900000,968.3,2
3000000,981.5,2
3100000,979.5,2
3200000,973.2,2
3300000,981.1,2
3400000,989.2,2
3500000,982.4,2
3600000,984.7,2
3700000,982.8,2
3800000,777.8,2
3900000,982.1,2
4000000,974.8,2
0,100.0,1
100000,484.0,1
200000,873.3,1
300000,960.9,1
400000,877.6,1
500000,875.3,1
600000,904.3,1
700000,934.2,1
800000,972.2,1
900000,956.4,1
1000000,985.3,1
1100000,978.4,1
1200000,979.2,1
1300000,957.6,1
1400000,932.7,1
1500000,978.6,1
1600000,901.3,1
1700000,978.9,1
1800000,980.7,1
1900000,805.1,1
2000000,983.2,1
2100000,969.9,1
2200000,970.1,1
2300000,985.9,1
2400000,983.3,1
2500000,969.7,1
2600000,983.6,1
2700000,979.4,1
2800000,964.6,1
2900000,878.7,1
3000000,979.9,1
3100000,979.5,1
3200000,984.6,1
3300000,964.9,1
3400000,882.0,1
3500000,884.1,1
3600000,962.2,1
3700000,984.7,1
3800000,976.8,1
3900000,983.2,1
4000000,976.8,1
