step,reward,seed
0,69.9,3
100000,176.3,3
200000,218.2,3
300000,442.7,3
400000,519.2,3
500000,579.9,3
600000,587.9,3
700000,593.8,3
800000,667.7,3
900000,692.8,3
1000000,606.0,3
1100000,248.5,3
1200000,654.8,3
1300000,583.5,3
1400000,801.5,3
1500000,729.2,3
1600000,819.3,3
1700000,746.4,3
1800000,807.1,3
1900000,649.5,3
2000000,698.5,3
2100000,786.0,3
2200000,808.3,3
2300000,799.8,3
2400000,672.1,3
2500000,825.8,3
2600000,809.9,3
2700000,772.8,3
2800000,859.2,3
2900000,800.4,3
3000000,801.7,3
3100000,751.2,3
3200000,809.2,3
3300000,801.0,3
3400000,818.1,3
3500000,798.8,3
3600000,833.9,3
3700000,768.6,3
3800000,767.4,3
3900000,814.8,3
4000000,847.5,3
0,64.3,2
100000,265.6,2
200000,599.4,2
300000,737.3,2
400000,689.9,2
500000,632.1,2
600000,675.2,2
700000,682.6,2
800000,754.6,2
900000,685.2,2
1000000,695.1,2
1100000,711.1,2
1200000,674.7,2
1300000,757.2,2
1400000,807.4,2
1500000,768.0,2
1600000,809.5,2
1700000,774.2,2
1800000,796.1,2
1900000,790.1,2
2000000,680.9,2
2100000,800.5,2
2200000,757.3,2
2300000,748.3,2
2400000,761.8,2
2500000,738.6,2
2600000,784.0,2
2700000,799.0,2
2800000,714.5,2
2900000,790.1,2
3000000,666.9,2
3100000,719.4,2
3200000,782.5,2
3300000,633.4,2
3400000,832.3,2
3500000,806.9,2
3600000,807.3,2
3700000,795.0,2
3800000,758.3,2
3900000,791.5,2
4000000,780.3,2
0,69.4,1
100000,173.9,1
200000,319.0,1
300000,633.3,1
400000,594.6,1
500000,618.7,1
600000,693.6,1
700000,622.7,1
800000,679.1,1
900000,771.3,1
1000000,770.1,1
1100000,747.8,1
1200000,762.2,1
1300000,735.6,1
1400000,791.9,1
1500000,655.1,1
1600000,757.4,1
1700000,717.6,1
1800000,731.8,1
1900000,799.8,1
2000000,739.2,1
2100000,775.2,1
2200000,685.6,1
2300000,804.8,1
2400000,796.0,1
2500000,828.5,1
2600000,761.6,1
2700000,731.9,1
2800000,790.6,1
2900000,776.7,1
3000000,801.7,1
3100000,701.2,1
3200000,829.3,1
3300000,739.2,1
3400000,761.5,1
3500000,784.7,1
3600000,842.1,1
3700000,697.2,1
3800000,740.1,1
3900000,833.6,1
4000000,655.1,1
