step,reward,seed
0,0.0,2
100000,151.7,2
200000,883.7,2
300000,863.9,2
400000,937.2,2
500000,943.5,2
600000,950.6,2
700000,952.6,2
800000,938.9,2
900000,951.9,2
1000000,914.9,2
1100000,852.5,2
1200000,953.9,2
1300000,958.1,2
1400000,957.0,2
1500000,954.4,2
1600000,939.3,2
1700000,958.9,2
1800000,944.4,2
1900000,961.2,2
2000000,959.5,2
2100000,858.9,2
2200000,965.4,2
2300000,861.8,2
2400000,965.5,2
2500000,960.5,2
2600000,948.7,2
2700000,955.6,2
2800000,960.6,2
2900000,958.3,2
3000000,959.5,2
3100000,959.3,2
3200000,946.0,2
3300000,957.8,2
3400000,959.9,2
3500000,960.0,2
3600000,955.2,2
3700000,962.5,2
3800000,858.1,2
3900000,960.6,2
4000000,954.3,2
0,0.0,1
100000,2.6,1
200000,657.0,1
300000,749.7,1
400000,942.7,1
500000,936.7,1
600000,955.2,1
700000,959.7,1
800000,856.8,1
900000,954.4,1
1000000,963.2,1
1100000,962.8,1
1200000,956.4,1
1300000,956.7,1
1400000,857.0,1
1500000,958.5,1
1600000,960.3,1
1700000,965.0,1
1800000,956.5,1
1900000,959.0,1
2000000,960.2,1
2100000,962.1,1
2200000,917.3,1
2300000,960.2,1
2400000,957.0,1
2500000,955.8,1
2600000,960.0,1
2700000,962.2,1
2800000,955.6,1
2900000,954.1,1
3000000,962.5,1
3100000,958.8,1
3200000,963.3,1
3300000,863.4,1
3400000,954.2,1
3500000,957.9,1
3600000,964.4,1
3700000,963.7,1
3800000,958.1,1
3900000,962.8,1
4000000,956.8,1
0,0.0,3
100000,664.5,3
200000,734.0,3
300000,759.2,3
400000,630.0,3
500000,792.2,3
600000,810.2,3
700000,818.8,3
800000,813.8,3
900000,826.4,3
1000000,827.6,3
1100000,837.7,3
1200000,838.0,3
1300000,844.1,3
1400000,818.1,3
1500000,836.3,3
1600000,835.1,3
1700000,849.2,3
1800000,850.5,3
1900000,894.8,3
2000000,818.8,3
2100000,887.3,3
2200000,902.4,3
2300000,898.9,3
2400000,896.8,3
2500000,909.2,3
2600000,875.9,3
2700000,898.9,3
2800000,865.8,3
2900000,868.3,3
3000000,888.5,3
3100000,873.7,3
3200000,832.7,3
3300000,885.5,3
3400000,797.8,3
3500000,885.0,3
3600000,895.2,3
3700000,873.5,3
3800000,832.2,3
3900000,790.9,3
4000000,885.6,3
