step,reward,seed
0,0.0,3
100000,0.7,3
200000,145.7,3
300000,191.9,3
400000,210.3,3
500000,267.9,3
600000,354.9,3
700000,361.6,3
800000,353.3,3
900000,372.0,3
1000000,373.1,3
1100000,357.7,3
1200000,371.6,3
1300000,362.0,3
1400000,330.7,3
1500000,358.0,3
1600000,372.9,3
1700000,376.9,3
1800000,377.9,3
1900000,372.6,3
2000000,382.8,3
2100000,369.7,3
2200000,333.8,3
2300000,366.2,3
2400000,350.4,3
2500000,370.0,3
2600000,376.9,3
2700000,386.5,3
2800000,363.4,3
2900000,432.9,3
3000000,439.6,3
3100000,454.1,3
3200000,452.0,3
3300000,563.0,3
3400000,521.1,3
3500000,532.9,3
3600000,600.8,3
3700000,589.0,3
3800000,553.7,3
3900000,603.3,3
4000000,594.2,3
0,0.0,2
100000,14.0,2
200000,215.8,2
300000,316.3,2
400000,346.3,2
500000,306.3,2
600000,364.2,2
700000,280.9,2
800000,365.3,2
900000,376.3,2
1000000,271.2,2
1100000,330.9,2
1200000,369.7,2
1300000,376.4,2
1400000,364.1,2
1500000,379.7,2
1600000,373.7,2
1700000,377.3,2
1800000,377.5,2
1900000,383.7,2
2000000,374.7,2
2100000,328.6,2
2200000,377.2,2
2300000,317.7,2
2400000,346.7,2
2500000,383.1,2
2600000,375.3,2
2700000,383.4,2
2800000,377.1,2
2900000,385.2,2
3000000,379.7,2
3100000,377.7,2
3200000,371.5,2
3300000,303.0,2
3400000,380.1,2
3500000,307.2,2
3600000,385.1,2
3700000,380.1,2
3800000,336.9,2
3900000,318.2,2
4000000,373.2,2
0,0.0,1
100000,26.2,1
200000,138.4,1
300000,271.0,1
400000,299.7,1
500000,335.6,1
600000,354.2,1
700000,362.2,1
800000,328.4,1
900000,247.7,1
1000000,368.8,1
1100000,373.6,1
1200000,276.5,1
1300000,364.7,1
1400000,334.9,1
1500000,302.1,1
1600000,372.0,1
1700000,357.4,1
1800000,366.1,1
1900000,370.0,1
2000000,367.5,1
2100000,375.8,1
2200000,349.5,1
2300000,378.7,1
2400000,369.5,1
2500000,370.0,1
2600000,369.9,1
2700000,372.7,1
2800000,381.0,1
2900000,379.5,1
3000000,370.5,1
3100000,362.6,1
3200000,374.0,1
3300000,343.5,1
3400000,316.1,1
3500000,365.2,1
3600000,373.8,1
3700000,365.0,1
3800000,379.5,1
3900000,378.0,1
4000000,380.1,1
