step,reward,seed
0,1.2,2
100000,6.4,2
200000,326.4,2
300000,904.0,2
400000,916.9,2
500000,932.9,2
600000,948.9,2
700000,952.2,2
800000,948.5,2
900000,961.6,2
1000000,950.6,2
1100000,857.8,2
1200000,956.3,2
1300000,960.5,2
1400000,963.9,2
1500000,958.0,2
1600000,961.1,2
1700000,959.9,2
1800000,957.6,2
1900000,963.3,2
2000000,960.3,2
2100000,858.5,2
2200000,966.3,2
2300000,866.4,2
2400000,961.3,2
2500000,956.7,2
2600000,955.7,2
2700000,948.3,2
2800000,958.1,2
2900000,953.6,2
3000000,959.7,2
3100000,954.0,2
3200000,944.0,2
3300000,962.9,2
3400000,961.5,2
3500000,960.9,2
3600000,960.7,2
3700000,971.8,2
3800000,865.2,2
3900000,957.4,2
4000000,951.4,2
0,1.2,1
100000,10.1,1
200000,19.6,1
300000,534.1,1
400000,914.2,1
500000,933.1,1
600000,941.3,1
700000,943.9,1
800000,842.9,1
900000,940.0,1
1000000,954.1,1
1100000,955.1,1
1200000,947.4,1
1300000,947.0,1
1400000,754.6,1
1500000,955.7,1
1600000,946.6,1
1700000,939.2,1
1800000,954.9,1
1900000,961.6,1
2000000,950.7,1
2100000,940.3,1
2200000,859.4,1
2300000,954.5,1
2400000,954.9,1
2500000,957.4,1
2600000,945.0,1
2700000,961.9,1
2800000,962.4,1
2900000,955.5,1
3000000,959.0,1
3100000,959.1,1
3200000,964.6,1
3300000,856.4,1
3400000,964.4,1
3500000,953.2,1
3600000,962.7,1
3700000,963.9,1
3800000,958.6,1
3900000,916.0,1
4000000,954.1,1
0,2.5,3
100000,68.0,3
200000,438.5,3
300000,927.2,3
400000,750.1,3
500000,943.4,3
600000,944.9,3
700000,954.8,3
800000,931.8,3
900000,957.9,3
1000000,958.3,3
1100000,959.5,3
1200000,962.2,3
1300000,910.7,3
1400000,940.7,3
1500000,953.0,3
1600000,963.7,3
1700000,965.7,3
1800000,957.0,3
1900000,960.9,3
2000000,951.3,3
2100000,961.6,3
2200000,957.2,3
2300000,964.6,3
2400000,968.2,3
2500000,963.7,3
2600000,955.2,3
2700000,962.8,3
2800000,961.6,3
2900000,966.1,3
3000000,962.7,3
3100000,950.4,3
3200000,959.6,3
3300000,960.0,3
3400000,866.6,3
3500000,953.1,3
3600000,955.5,3
3700000,957.0,3
3800000,961.6,3
3900000,946.0,3
4000000,958.9,3
