step,reward,seed
0,1.1,3
100000,1.1,3
200000,1.2,3
300000,31.5,3
400000,111.0,3
500000,110.7,3
600000,85.3,3
700000,126.5,3
800000,153.6,3
900000,178.8,3
1000000,201.0,3
1100000,219.7,3
1200000,247.5,3
1300000,254.9,3
1400000,254.0,3
1500000,261.1,3
1600000,309.5,3
1700000,306.0,3
1800000,311.8,3
1900000,322.5,3
2000000,312.0,3
2100000,331.3,3
2200000,357.4,3
2300000,359.0,3
2400000,391.5,3
2500000,382.9,3
2600000,400.1,3
2700000,445.6,3
2800000,419.5,3
2900000,450.8,3
3000000,460.6,3
3100000,450.0,3
3200000,438.5,3
3300000,468.8,3
3400000,473.2,3
3500000,501.0,3
3600000,488.5,3
3700000,521.3,3
3800000,549.1,3
3900000,529.4,3
4000000,533.0,3
4100000,521.6,3
4200000,490.1,3
4300000,548.1,3
4400000,525.5,3
4500000,573.4,3
4600000,525.4,3
4700000,527.2,3
4800000,570.3,3
4900000,560.0,3
5000000,571.9,3
5100000,593.0,3
5200000,573.7,3
5300000,577.4,3
5400000,551.7,3
5500000,566.1,3
5600000,568.9,3
5700000,590.3,3
5800000,593.0,3
5900000,599.8,3
6000000,598.4,3
6100000,570.4,3
6200000,612.0,3
6300000,625.8,3
6400000,605.6,3
6500000,579.7,3
6600000,597.7,3
6700000,610.7,3
6800000,603.8,3
6900000,618.5,3
7000000,605.8,3
7100000,554.1,3
7200000,598.5,3
7300000,603.2,3
7400000,594.9,3
7500000,623.1,3
7600000,621.4,3
7700000,640.7,3
7800000,624.2,3
7900000,605.8,3
8000000,617.3,3
8100000,653.7,3
8200000,617.3,3
8300000,637.3,3
8400000,626.6,3
8500000,648.1,3
8600000,645.3,3
8700000,654.9,3
8800000,636.2,3
8900000,620.5,3
9000000,647.9,3
9100000,593.9,3
9200000,657.1,3
9300000,573.6,3
9400000,642.3,3
9500000,610.5,3
9600000,657.1,3
9700000,656.1,3
9800000,638.2,3
9900000,611.1,3
10000000,654.0,3
10100000,632.8,3
10200000,635.8,3
10300000,668.0,3
10400000,607.4,3
10500000,642.1,3
10600000,607.1,3
10700000,670.4,3
10800000,678.4,3
10900000,657.4,3
11000000,650.6,3
11100000,661.7,3
11200000,655.4,3
11300000,685.4,3
11400000,656.2,3
11500000,627.6,3
11600000,638.4,3
11700000,672.5,3
11800000,654.9,3
11900000,654.4,3
12000000,646.3,3
12100000,646.7,3
12200000,632.5,3
12300000,653.8,3
12400000,645.7,3
12500000,625.3,3
12600000,603.7,3
12700000,620.8,3
12800000,622.0,3
12900000,654.2,3
13000000,635.0,3
13100000,648.9,3
13200000,666.7,3
13300000,695.9,3
13400000,674.7,3
13500000,683.6,3
13600000,668.1,3
13700000,653.0,3
13800000,637.9,3
13900000,663.6,3
14000000,664.6,3
0,0.9,2
100000,1.6,2
200000,1.2,2
300000,80.8,2
400000,93.4,2
500000,118.1,2
600000,131.0,2
700000,117.6,2
800000,163.8,2
900000,174.3,2
1000000,157.4,2
1100000,193.0,2
1200000,215.1,2
1300000,226.2,2
1400000,252.2,2
1500000,264.0,2
1600000,252.1,2
1700000,246.5,2
1800000,290.7,2
1900000,295.9,2
2000000,328.9,2
2100000,348.3,2
2200000,326.6,2
2300000,375.4,2
2400000,401.8,2
2500000,393.3,2
2600000,414.3,2
2700000,443.0,2
2800000,446.9,2
2900000,423.2,2
3000000,444.6,2
3100000,434.1,2
3200000,444.3,2
3300000,439.9,2
3400000,440.2,2
3500000,441.5,2
3600000,445.8,2
3700000,472.0,2
3800000,469.2,2
3900000,457.1,2
4000000,459.8,2
4100000,453.8,2
4200000,463.7,2
4300000,398.5,2
4400000,494.6,2
4500000,512.3,2
4600000,501.4,2
4700000,472.5,2
4800000,499.7,2
4900000,512.3,2
5000000,497.6,2
5100000,477.5,2
5200000,570.6,2
5300000,554.1,2
5400000,586.9,2
5500000,545.3,2
5600000,552.7,2
5700000,585.6,2
5800000,578.5,2
5900000,589.6,2
6000000,536.1,2
6100000,549.1,2
