step,reward,seed
0,1.3,3
100000,1.4,3
200000,1.7,3
300000,1.4,3
400000,188.7,3
500000,389.8,3
600000,459.7,3
700000,493.2,3
800000,520.0,3
900000,555.7,3
1000000,610.4,3
1100000,666.0,3
1200000,709.2,3
1300000,767.1,3
1400000,781.4,3
1500000,749.4,3
1600000,776.6,3
1700000,797.7,3
1800000,820.0,3
1900000,874.0,3
2000000,809.9,3
2100000,893.2,3
2200000,877.4,3
2300000,886.9,3
2400000,897.8,3
2500000,890.5,3
2600000,899.1,3
2700000,894.1,3
2800000,912.6,3
2900000,915.9,3
3000000,909.3,3
3100000,925.0,3
3200000,888.8,3
3300000,918.4,3
3400000,921.6,3
3500000,919.6,3
3600000,923.8,3
3700000,919.4,3
3800000,924.7,3
3900000,927.0,3
4000000,915.7,3
4100000,918.2,3
4200000,930.1,3
4300000,911.5,3
4400000,919.6,3
4500000,917.9,3
4600000,912.1,3
4700000,921.3,3
4800000,864.6,3
4900000,911.2,3
5000000,904.1,3
5100000,920.7,3
5200000,919.2,3
5300000,921.3,3
5400000,924.1,3
5500000,901.1,3
5600000,909.6,3
5700000,911.2,3
5800000,904.3,3
5900000,919.6,3
6000000,901.5,3
6100000,901.6,3
6200000,924.1,3
6300000,920.2,3
6400000,901.9,3
6500000,907.7,3
6600000,891.1,3
6700000,915.6,3
6800000,918.2,3
6900000,912.6,3
7000000,915.2,3
7100000,904.6,3
7200000,911.4,3
7300000,899.5,3
7400000,918.5,3
7500000,910.4,3
7600000,901.9,3
7700000,918.4,3
7800000,918.2,3
7900000,881.9,3
8000000,905.4,3
8100000,894.8,3
8200000,897.3,3
8300000,847.6,3
8400000,886.8,3
8500000,896.0,3
8600000,902.3,3
8700000,895.9,3
8800000,905.8,3
8900000,900.2,3
9000000,897.3,3
9100000,909.1,3
9200000,906.0,3
9300000,905.2,3
9400000,877.9,3
9500000,886.1,3
9600000,900.8,3
9700000,905.1,3
9800000,901.8,3
9900000,896.6,3
10000000,896.2,3
10100000,894.3,3
10200000,901.8,3
10300000,888.4,3
10400000,895.6,3
10500000,897.8,3
10600000,874.4,3
10700000,892.2,3
10800000,896.0,3
10900000,886.8,3
11000000,888.1,3
11100000,886.8,3
11200000,867.7,3
11300000,885.6,3
11400000,887.6,3
11500000,875.5,3
11600000,884.8,3
11700000,890.9,3
11800000,896.9,3
11900000,882.2,3
12000000,888.7,3
12100000,867.7,3
12200000,891.1,3
12300000,881.6,3
12400000,879.1,3
12500000,881.6,3
12600000,879.3,3
12700000,878.3,3
12800000,874.8,3
12900000,898.4,3
13000000,890.7,3
13100000,873.8,3
13200000,891.1,3
13300000,889.1,3
13400000,897.3,3
13500000,860.8,3
13600000,893.6,3
13700000,898.7,3
13800000,892.5,3
13900000,894.4,3
14000000,892.6,3
0,0.9,1
100000,1.4,1
200000,1.2,1
300000,3.6,1
400000,203.0,1
500000,26.6,1
600000,391.5,1
700000,461.6,1
800000,577.9,1
900000,590.6,1
1000000,642.3,1
1100000,695.9,1
1200000,702.9,1
1300000,753.7,1
1400000,799.2,1
1500000,822.6,1
1600000,841.6,1
1700000,871.8,1
1800000,897.8,1
1900000,886.1,1
2000000,889.6,1
2100000,893.9,1
2200000,900.9,1
2300000,894.1,1
2400000,914.0,1
2500000,913.4,1
2600000,911.1,1
2700000,900.8,1
2800000,899.2,1
2900000,911.6,1
3000000,922.6,1
3100000,925.9,1
3200000,930.8,1
3300000,928.9,1
3400000,931.6,1
3500000,921.7,1
3600000,918.8,1
3700000,926.5,1
3800000,921.3,1
3900000,912.4,1
4000000,917.2,1
4100000,921.8,1
4200000,916.3,1
4300000,895.7,1
4400000,911.7,1
4500000,906.1,1
4600000,905.4,1
4700000,902.9,1
4800000,906.4,1
4900000,894.4,1
5000000,900.7,1
5100000,885.9,1
5200000,884.6,1
5300000,897.0,1
5400000,897.8,1
5500000,901.5,1
5600000,884.2,1
5700000,875.0,1
5800000,849.5,1
5900000,881.5,1
6000000,889.6,1
6100000,846.9,1
6200000,873.2,1
6300000,882.9,1
6400000,878.6,1
6500000,865.4,1
6600000,873.5,1
6700000,875.0,1
6800000,850.3,1
6900000,883.9,1
7000000,858.9,1
7100000,877.0,1
7200000,864.8,1
7300000,867.6,1
7400000,880.9,1
7500000,898.6,1
7600000,913.9,1
7700000,893.2,1
7800000,878.9,1
7900000,916.3,1
8000000,924.0,1
8100000,916.7,1
8200000,903.9,1
8300000,875.3,1
8400000,915.5,1
8500000,904.3,1
8600000,900.5,1
8700000,897.3,1
8800000,912.0,1
8900000,906.5,1
9000000,893.3,1
9100000,908.3,1
9200000,894.7,1
9300000,912.0,1
9400000,893.4,1
9500000,893.6,1
9600000,887.9,1
9700000,888.9,1
9800000,900.0,1
9900000,887.4,1
10000000,901.3,1
10100000,917.1,1
10200000,910.6,1
10300000,903.7,1
10400000,908.8,1
10500000,912.0,1
10600000,913.2,1
10700000,906.6,1
10800000,898.6,1
10900000,898.5,1
11000000,907.5,1
11100000,905.0,1
11200000,895.6,1
11300000,890.7,1
11400000,890.6,1
11500000,893.5,1
11600000,900.0,1
11700000,895.0,1
11800000,903.8,1
11900000,878.0,1
12000000,907.9,1
12100000,904.4,1
12200000,908.8,1
12300000,907.3,1
12400000,884.9,1
12500000,899.6,1
12600000,909.8,1
12700000,917.3,1
12800000,875.0,1
12900000,906.3,1
13000000,908.1,1
13100000,898.3,1
13200000,912.4,1
13300000,882.0,1
13400000,903.0,1
13500000,905.9,1
13600000,900.3,1
13700000,914.2,1
13800000,908.2,1
13900000,900.0,1
14000000,901.8,1
0,0.9,2
100000,1.6,2
200000,1.9,2
300000,4.0,2
400000,174.7,2
500000,417.8,2
600000,459.4,2
700000,497.4,2
800000,522.2,2
900000,570.0,2
1000000,632.0,2
1100000,678.6,2
1200000,734.7,2
1300000,835.6,2
1400000,851.6,2
1500000,871.1,2
1600000,872.1,2
1700000,890.1,2
1800000,901.5,2
1900000,894.3,2
2000000,879.5,2
2100000,892.8,2
2200000,899.8,2
2300000,888.5,2
2400000,885.9,2
2500000,915.9,2
2600000,913.8,2
2700000,915.7,2
2800000,916.9,2
2900000,919.6,2
3000000,921.4,2
3100000,911.4,2
3200000,922.8,2
3300000,925.1,2
3400000,927.0,2
3500000,928.2,2
3600000,913.7,2
3700000,911.9,2
3800000,923.2,2
3900000,930.5,2
4000000,904.3,2
4100000,917.4,2
4200000,910.5,2
4300000,915.6,2
4400000,916.0,2
4500000,901.0,2
4600000,920.5,2
4700000,908.3,2
4800000,897.4,2
4900000,899.3,2
5000000,887.3,2
5100000,909.6,2
5200000,916.2,2
5300000,885.1,2
5400000,889.7,2
5500000,883.8,2
5600000,867.0,2
5700000,879.3,2
5800000,875.6,2
5900000,871.8,2
6000000,865.6,2
6100000,876.3,2
6200000,869.0,2
6300000,868.2,2
6400000,882.7,2
6500000,893.9,2
6600000,831.6,2
6700000,861.2,2
6800000,877.0,2
6900000,877.6,2
7000000,919.1,2
7100000,902.7,2
7200000,883.8,2
7300000,922.8,2
7400000,917.7,2
7500000,904.8,2
7600000,892.9,2
7700000,904.9,2
7800000,882.7,2
7900000,899.9,2
8000000,923.5,2
8100000,909.7,2
8200000,909.8,2
8300000,905.5,2
8400000,891.7,2
8500000,894.1,2
8600000,880.1,2
8700000,911.9,2
8800000,897.6,2
8900000,914.7,2
9000000,906.9,2
9100000,901.5,2
9200000,896.9,2
