step,reward,seed
0,7.7,3
100000,275.6,3
200000,673.0,3
300000,867.8,3
400000,588.9,3
500000,878.5,3
600000,782.4,3
700000,676.8,3
800000,771.3,3
900000,680.6,3
1000000,500.7,3
1100000,677.6,3
1200000,776.5,3
1300000,781.3,3
1400000,967.8,3
1500000,682.1,3
1600000,776.4,3
1700000,772.8,3
1800000,578.5,3
1900000,783.2,3
2000000,773.9,3
2100000,384.3,3
2200000,585.0,3
2300000,677.3,3
2400000,784.3,3
2500000,880.9,3
2600000,775.2,3
2700000,682.4,3
2800000,778.8,3
2900000,586.0,3
3000000,869.5,3
3100000,871.0,3
3200000,773.7,3
3300000,779.2,3
3400000,781.4,3
3500000,681.9,3
3600000,871.6,3
3700000,872.5,3
3800000,875.1,3
3900000,489.0,3
4000000,875.5,3
0,18.8,2
100000,221.4,2
200000,649.3,2
300000,759.4,2
400000,684.2,2
500000,487.2,2
600000,654.0,2
700000,682.8,2
800000,876.1,2
900000,873.8,2
1000000,782.8,2
1100000,581.9,2
1200000,781.2,2
1300000,880.6,2
1400000,874.8,2
1500000,784.2,2
1600000,971.3,2
1700000,783.3,2
1800000,969.5,2
1900000,681.5,2
2000000,976.6,2
2100000,687.2,2
2200000,573.3,2
2300000,884.3,2
2400000,883.4,2
2500000,881.7,2
2600000,586.6,2
2700000,778.9,2
2800000,783.0,2
2900000,879.1,2
3000000,781.5,2
3100000,878.2,2
3200000,881.1,2
3300000,976.9,2
3400000,979.6,2
3500000,686.9,2
3600000,782.5,2
3700000,782.6,2
3800000,786.6,2
3900000,881.3,2
4000000,786.3,2
0,0.0,1
100000,303.9,1
200000,674.1,1
300000,775.2,1
400000,973.2,1
500000,677.8,1
600000,876.2,1
700000,876.5,1
800000,864.3,1
900000,854.5,1
1000000,875.1,1
1100000,778.5,1
1200000,577.3,1
1300000,874.3,1
1400000,778.4,1
1500000,878.9,1
1600000,774.6,1
1700000,968.1,1
1800000,977.9,1
1900000,879.6,1
2000000,872.8,1
2100000,874.4,1
2200000,678.2,1
2300000,682.7,1
2400000,873.5,1
2500000,776.0,1
2600000,775.7,1
2700000,680.5,1
2800000,585.2,1
2900000,971.5,1
3000000,774.2,1
3100000,957.1,1
3200000,876.4,1
3300000,871.5,1
3400000,583.2,1
3500000,873.7,1
3600000,783.0,1
3700000,878.0,1
3800000,976.9,1
3900000,675.6,1
4000000,877.5,1
