step,reward,seed
0,126.2,2
100000,979.5,2
200000,965.5,2
300000,990.1,2
400000,971.6,2
500000,988.1,2
600000,988.7,2
700000,988.7,2
800000,986.1,2
900000,990.4,2
1000000,991.0,2
1100000,989.7,2
1200000,989.3,2
1300000,994.2,2
1400000,990.7,2
1500000,988.5,2
1600000,993.4,2
1700000,996.3,2
1800000,992.0,2
1900000,991.5,2
2000000,991.9,2
2100000,993.2,2
2200000,994.3,2
2300000,993.5,2
2400000,992.2,2
2500000,987.2,2
2600000,994.4,2
2700000,990.3,2
2800000,991.1,2
2900000,994.6,2
3000000,993.5,2
3100000,994.5,2
3200000,996.6,2
3300000,991.2,2
3400000,991.6,2
3500000,991.4,2
3600000,993.1,2
3700000,994.9,2
3800000,992.3,2
3900000,995.3,2
4000000,992.2,2
0,152.5,1
100000,985.2,1
200000,980.1,1
300000,987.1,1
400000,985.9,1
500000,898.1,1
600000,985.7,1
700000,988.9,1
800000,992.3,1
900000,986.9,1
1000000,987.0,1
1100000,994.9,1
1200000,991.3,1
1300000,991.2,1
1400000,994.1,1
1500000,992.6,1
1600000,994.3,1
1700000,993.3,1
1800000,994.8,1
1900000,991.8,1
2000000,992.3,1
2100000,991.6,1
2200000,993.4,1
2300000,990.9,1
2400000,995.0,1
2500000,993.3,1
2600000,992.9,1
2700000,995.2,1
2800000,994.4,1
2900000,992.1,1
3000000,995.0,1
3100000,992.9,1
3200000,995.5,1
3300000,992.5,1
3400000,988.9,1
3500000,991.5,1
3600000,994.6,1
3700000,994.0,1
3800000,993.4,1
3900000,992.0,1
4000000,992.0,1
0,129.2,3
100000,978.9,3
200000,987.4,3
300000,991.6,3
400000,982.6,3
500000,985.3,3
600000,988.2,3
700000,991.2,3
800000,992.1,3
900000,985.2,3
1000000,993.8,3
1100000,991.8,3
1200000,989.8,3
1300000,991.1,3
1400000,995.4,3
1500000,992.2,3
1600000,993.5,3
1700000,993.0,3
1800000,994.4,3
1900000,994.2,3
2000000,992.1,3
2100000,996.3,3
2200000,992.4,3
2300000,998.0,3
2400000,995.0,3
2500000,994.9,3
2600000,997.5,3
2700000,997.3,3
2800000,996.5,3
2900000,996.1,3
3000000,994.6,3
3100000,991.2,3
3200000,992.5,3
3300000,990.2,3
3400000,998.9,3
3500000,993.8,3
3600000,991.5,3
3700000,989.7,3
3800000,994.0,3
3900000,996.4,3
4000000,993.9,3
