step,reward,seed
0,20.6,2
100000,530.5,2
200000,652.0,2
300000,716.2,2
400000,794.7,2
500000,854.1,2
600000,867.1,2
700000,874.6,2
800000,880.8,2
900000,912.3,2
1000000,910.1,2
1100000,923.4,2
1200000,922.5,2
1300000,933.5,2
1400000,933.6,2
1500000,937.6,2
1600000,925.9,2
1700000,932.8,2
1800000,934.7,2
1900000,938.0,2
2000000,936.0,2
2100000,937.3,2
2200000,936.7,2
2300000,936.2,2
2400000,932.7,2
2500000,938.5,2
2600000,936.5,2
2700000,947.1,2
2800000,939.4,2
2900000,943.2,2
3000000,935.8,2
3100000,938.5,2
3200000,941.6,2
3300000,941.2,2
3400000,941.0,2
3500000,952.2,2
3600000,946.2,2
3700000,943.5,2
3800000,937.6,2
3900000,944.3,2
4000000,939.3,2
0,21.9,1
100000,535.0,1
200000,659.3,1
300000,696.1,1
400000,729.3,1
500000,760.7,1
600000,788.1,1
700000,799.2,1
800000,804.3,1
900000,806.9,1
1000000,839.2,1
1100000,859.7,1
1200000,876.6,1
1300000,877.4,1
1400000,868.0,1
1500000,886.1,1
1600000,882.2,1
1700000,872.8,1
1800000,884.2,1
1900000,891.4,1
2000000,886.2,1
2100000,889.7,1
2200000,895.8,1
2300000,904.4,1
2400000,909.3,1
2500000,914.4,1
2600000,912.1,1
2700000,903.4,1
2800000,920.7,1
2900000,909.1,1
3000000,920.1,1
3100000,926.8,1
3200000,930.9,1
3300000,927.0,1
3400000,932.8,1
3500000,932.7,1
3600000,933.0,1
3700000,931.3,1
3800000,930.9,1
3900000,931.1,1
4000000,936.5,1
0,24.0,3
100000,482.1,3
200000,684.7,3
300000,724.9,3
400000,746.9,3
500000,769.7,3
600000,801.0,3
700000,805.3,3
800000,825.5,3
900000,816.8,3
1000000,850.1,3
1100000,842.0,3
1200000,858.7,3
1300000,876.8,3
1400000,865.1,3
1500000,870.7,3
1600000,884.9,3
1700000,888.0,3
1800000,884.0,3
1900000,901.4,3
2000000,889.6,3
2100000,897.6,3
2200000,904.4,3
2300000,902.0,3
2400000,909.9,3
2500000,911.8,3
2600000,909.9,3
2700000,912.9,3
2800000,912.6,3
2900000,870.9,3
3000000,920.7,3
3100000,928.5,3
3200000,923.7,3
3300000,925.2,3
3400000,932.7,3
3500000,935.6,3
3600000,936.1,3
3700000,931.0,3
3800000,935.9,3
3900000,942.4,3
4000000,941.0,3
