step,reward,seed
0,20.7,2
100000,718.3,2
200000,773.5,2
300000,801.7,2
400000,809.8,2
500000,815.2,2
600000,821.7,2
700000,815.4,2
800000,830.9,2
900000,834.1,2
1000000,833.7,2
1100000,843.0,2
1200000,839.5,2
1300000,850.3,2
1400000,848.3,2
1500000,844.9,2
1600000,854.0,2
1700000,859.7,2
1800000,858.1,2
1900000,860.7,2
2000000,858.3,2
2100000,863.2,2
2200000,865.1,2
2300000,866.1,2
2400000,871.7,2
2500000,869.5,2
2600000,831.8,2
2700000,869.3,2
2800000,873.9,2
2900000,874.4,2
3000000,871.5,2
3100000,874.1,2
3200000,876.1,2
3300000,869.9,2
3400000,870.8,2
3500000,875.2,2
3600000,875.9,2
3700000,876.8,2
3800000,878.4,2
3900000,881.6,2
4000000,879.3,2
0,25.8,1
100000,691.5,1
200000,767.8,1
300000,796.7,1
400000,817.1,1
500000,811.6,1
600000,823.0,1
700000,829.8,1
800000,837.8,1
900000,838.2,1
1000000,837.0,1
1100000,849.1,1
1200000,844.1,1
1300000,845.8,1
1400000,849.5,1
1500000,853.7,1
1600000,852.4,1
1700000,851.9,1
1800000,853.7,1
1900000,851.9,1
2000000,856.3,1
2100000,855.8,1
2200000,857.2,1
2300000,862.5,1
2400000,860.8,1
2500000,860.3,1
2600000,866.9,1
2700000,867.4,1
2800000,868.8,1
2900000,867.4,1
3000000,867.2,1
3100000,871.1,1
3200000,870.3,1
3300000,867.5,1
3400000,867.4,1
3500000,867.1,1
3600000,870.1,1
3700000,869.8,1
3800000,872.4,1
3900000,868.1,1
4000000,868.1,1
0,24.3,3
100000,759.1,3
200000,800.2,3
300000,827.3,3
400000,826.7,3
500000,834.4,3
600000,839.6,3
700000,845.1,3
800000,850.4,3
900000,847.9,3
1000000,856.3,3
1100000,860.0,3
1200000,862.0,3
1300000,865.6,3
1400000,870.4,3
1500000,868.4,3
1600000,867.5,3
1700000,869.0,3
1800000,877.0,3
1900000,878.3,3
2000000,872.1,3
2100000,878.7,3
2200000,872.5,3
2300000,881.2,3
2400000,882.1,3
2500000,880.8,3
2600000,882.8,3
2700000,885.3,3
2800000,887.2,3
2900000,887.0,3
3000000,883.0,3
3100000,883.0,3
3200000,884.2,3
3300000,878.4,3
3400000,891.5,3
3500000,885.3,3
3600000,884.3,3
3700000,882.9,3
3800000,889.4,3
3900000,888.0,3
4000000,884.2,3
