step,reward,seed
0,24.8,2
100000,947.7,2
200000,971.2,2
300000,977.2,2
400000,978.4,2
500000,973.5,2
600000,980.6,2
700000,976.7,2
800000,981.0,2
900000,976.4,2
1000000,980.5,2
1100000,983.9,2
1200000,976.0,2
1300000,983.0,2
1400000,979.0,2
1500000,979.5,2
1600000,978.2,2
1700000,987.1,2
1800000,983.5,2
1900000,983.3,2
2000000,983.3,2
2100000,982.8,2
2200000,986.4,2
2300000,983.6,2
2400000,985.8,2
2500000,984.7,2
2600000,984.7,2
2700000,982.8,2
2800000,984.1,2
2900000,984.6,2
3000000,983.4,2
3100000,984.6,2
3200000,988.1,2
3300000,975.8,2
3400000,985.2,2
3500000,981.4,2
3600000,986.4,2
3700000,985.1,2
3800000,983.6,2
3900000,987.3,2
4000000,977.4,2
0,27.9,1
100000,966.7,1
200000,970.5,1
300000,975.3,1
400000,973.3,1
500000,979.4,1
600000,980.4,1
700000,978.5,1
800000,978.6,1
900000,979.3,1
1000000,975.2,1
1100000,985.8,1
1200000,978.8,1
1300000,980.5,1
1400000,984.7,1
1500000,985.5,1
1600000,985.6,1
1700000,982.4,1
1800000,984.7,1
1900000,984.0,1
2000000,985.6,1
2100000,981.4,1
2200000,984.0,1
2300000,983.1,1
2400000,984.2,1
2500000,984.5,1
2600000,984.5,1
2700000,986.2,1
2800000,984.4,1
2900000,984.5,1
3000000,986.6,1
3100000,984.2,1
3200000,984.1,1
3300000,983.2,1
3400000,981.9,1
3500000,983.2,1
3600000,984.5,1
3700000,985.2,1
3800000,982.9,1
3900000,983.8,1
4000000,982.9,1
0,31.4,3
100000,971.3,3
200000,978.6,3
300000,977.8,3
400000,977.4,3
500000,983.2,3
600000,984.5,3
700000,982.9,3
800000,981.1,3
900000,972.5,3
1000000,983.5,3
1100000,982.6,3
1200000,981.5,3
1300000,982.9,3
1400000,986.8,3
1500000,980.8,3
1600000,982.7,3
1700000,981.1,3
1800000,985.2,3
1900000,988.5,3
2000000,983.1,3
2100000,988.1,3
2200000,982.7,3
2300000,991.2,3
2400000,987.4,3
2500000,987.6,3
2600000,987.4,3
2700000,987.2,3
2800000,988.6,3
2900000,987.1,3
3000000,983.0,3
3100000,984.2,3
3200000,985.9,3
3300000,976.1,3
3400000,991.7,3
3500000,983.8,3
3600000,977.9,3
3700000,980.2,3
3800000,986.0,3
3900000,988.7,3
4000000,983.1,3
